Rank	Team	A	B	C	D	E	F	G	H	I	J	K	=	Time
36	Kazakh NU 6	.	.	.	+ (121:56)	+ (64:00)	.	.	.	.	.	.	2	185
37	IITU 7	.	.	.	+3 (108:54)	+ (27:16)	.	.	.	.	.	.	2	195
38	Kazakh-British TU 16	.	.	.	+3 (122:38)	+ (21:37)	.	.	.	.	.	.	2	203
39	Kazakh NU 4	.	.	.	+3 (118:05)	+ (53:06)	.	-5	.	.	.	.	2	231
40	AUPET 3	.	.	.	+6 (97:31)	+ (16:54)	.	.	.	.	.	-64	2	233
41	SDU07	.	.	.	+ (100:26)	+4 (152:19)	.	.	.	.	.	.	2	332
42	ITTAS	.	.	.	+7 (173:19)	+ (29:38)	.	.	.	.	.	.	2	342
43	Kazakh NTU 1	-6	.	.	+1 (294:22)	+1 (26:37)	.	.	.	.	.	.	2	360
44	SDU08	.	.	.	+ (195:02)	+1 (147:17)	.	.	.	.	.	.	2	362
45	SDU06	.	.	.	+1 (274:12)	+ (107:20)	.	.	.	-5	.	.	2	401
46	Kazakh-British TU 13	.	.	.	+3 (166:37)	+6 (149:13)	.	.	.	.	.	.	2	495
47	SDU16	.	.	-3	+3 (217:40)	+2 (251:59)	.	.	.	.	.	.	2	568
48	West Kazakhstan SU1	.	.	.	+4 (296:35)	+6 (185:39)	.	.	.	.	.	.	2	681
49	Kazakh-British TU 11	.	.	.	-3	+ (24:57)	.	.	.	.	.	.	1	24
50	Kazakh NU 7	-1	.	.	-4	+1 (15:37)	.	.	.	.	.	.	1	35
51	Kazakh NU 11	.	.	.	-2	+1 (32:45)	.	.	.	.	.	.	1	52
52	SDU14	.	.	.	-2	+ (76:15)	.	.	.	.	.	.	1	76
53	IITU 9	.	-1	.	-6	+2 (64:42)	.	.	.	.	.	.	1	104
54	Kazakh-British TU 18	-1	.	.	-4	+ (132:32)	.	.	.	.	.	.	1	132
55	SDU13	.	.	.	-9	+5 (92:59)	.	.	.	.	.	.	1	192
56	SDU11	.	.	.	-9	+3 (139:59)	.	.	.	.	.	.	1	199
57	TURAN 1 TuranDuo	.	.	.	.	+1 (207:40)	.	.	.	.	.	.	1	227
58	SDU15	.	.	.	-8	+3 (177:43)	.	.	.	.	.	.	1	237
59	West Kazakhstan SU2	.	.	.	.	+7 (151:24)	.	.	.	.	.	.	1	291
60	KazNPU Ped 1	.	.	.	-5	+3 (250:11)	.	.	.	.	.	.	1	310
61	ENU	-1	-1	.	-1	.	.	.	.	.	.	.	0	0
61	Kazakh NU 5	.	.	.	.	-8	.	.	.	.	.	.	0	0
61	Kazakh NU 8	.	.	.	.	-1	.	.	.	.	.	.	0	0
61	Kazakh NU 9	.	.	.	.	-1	.	.	.	.	.	.	0	0
61	Kazakh-British TU 14	.	.	.	-4	-2	.	.	.	.	.	.	0	0
61	Kazakh-British TU 15	.	.	.	.	.	.	.	.	.	.	.	0	0
61	KIMEP Almaty	.	.	.	.	.	.	.	.	.	.	.	0	0
61	SDU: o_O	.	.	.	.	.	.	.	.	.	.	.	0	0
61	Kazakh NTU 2	.	.	.	.	-8	.	.	.	.	.	.	0	0
61	Kazakh-British TU 17	.	.	.	-4	-5	.	.	.	.	.	.	0	0
61	KGU 1	.	.	.	-5	-2	.	.	.	.	.	-2	0	0
61	KazNPU Ped 2	.	.	.	.	.	.	.	.	.	.	.	0	0
	Total runs	49	2	34	207	149	7	24	43	66	8	133
	Accepted	9	0	3	50	62	1	1	28	2	1	29
	Rejected	40	2	31	157	87	6	23	15	64	7	104
	First Accept	37:28		142:36	11:11	7:26	241:19	290:37	31:57	268:45	218:07	49:27
	Last Accept	276:29		258:56	296:35	251:59	241:19	290:37	266:23	278:05	218:07	252:09
