Rank	Team	A	B	C	D	E	F	G	H	I	J	K	L	=	Time
86	International IT University 9 (Uteshev, Salimzhan, Madyshanov)	+ (108:31)	.	.	.	.	.	.	.	.	.	.	.	1	108
87	Kazakh-British Technical University 20 (Eldes, Kairatuly, Seifulla)	+2 (70:49)	-5	.	.	-2	.	.	.	.	.	-1	.	1	110
88	International IT University 26 (Moldakhmet Assel, Sultanova Nazerke, Shabdanbek Moldir)	+ (113:54)	.	.	.	.	.	.	.	.	.	.	.	1	113
89	Kazakh National University named Al-Farabi 6 (Sabit, Kanat, Rүstem)	+2 (74:54)	.	.	.	.	.	.	.	.	.	.	.	1	114
90	International IT University 25 (Bolatov Dias, Serikbay Duman, Turganbai Sabyrzhan)	+ (123:59)	.	.	.	.	.	.	.	.	.	.	.	1	123
91	International IT University 24 (Dauytbekova Meruert, Berdigalieva Albina, Satyshova Dana)	+ (127:40)	.	.	.	.	.	.	.	.	.	.	.	1	127
92	Pavlodar State University named S. Toraigyrov 1 (Myssak, Myssak, Khodyrev)	-2	.	.	.	.	.	+ (169:12)	.	.	.	.	.	1	169
92	International IT University 15 (Bolatzhanuly, Kelsingazin, Baidulla)	+4 (89:56)	.	.	.	-4	.	.	.	.	.	.	.	1	169
94	International IT University 17 (Amirzhan, Alikhan, Kuanysh)	+1 (150:18)	.	.	.	.	.	.	.	.	.	.	.	1	170
95	Kazakh-British Technical University 23 (Assimov, Mynbay, Ganiyev)	+4 (104:18)	.	.	.	.	.	.	.	.	.	.	.	1	184
96	Kostanay State University named A. Baitursynov (Kulmahan, Tulegenov, Manakov)	+5 (99:34)	.	.	-2	-2	.	-1	.	.	.	.	.	1	199
96	Narxoz University 1 (Mambetkulov, Orynbayev, Beibitova)	+2 (159:18)	-1	.	.	.	.	.	.	.	.	.	.	1	199
98	International IT University 19 (Demeubaeva, Bіlіmzhorova, Kuandyk)	+4 (130:49)	.	.	.	.	.	.	.	.	.	.	.	1	210
99	Almaty University of Power Engineering & Telecommunications 1 (Miroshnikov, Kyzdarbekov, Simonov)	-1	.	.	.	.	.	-2	.	.	.	.	.	0	0
99	Almaty University of Power Engineering & Telecommunications 2 (Timuruly, Melis, Akashov)	.	.	.	.	.	.	.	.	.	.	.	.	0	0
99	Almaty University of Power Engineering & Telecommunications 3 (Ten, , )	.	.	.	.	.	.	.	.	.	.	.	.	0	0
99	Almaty University of Power Engineering & Telecommunications 4 (, , )	-2	.	.	.	.	.	.	.	.	.	.	.	0	0
99	Almaty University of Power Engineering & Telecommunications 5 (, , )	-2	.	.	.	.	.	.	.	.	.	.	.	0	0
99	Almaty University of Power Engineering & Telecommunications 6 (Ksovreli, Svanidze, )	.	.	.	.	.	.	.	.	.	.	.	.	0	0
99	International IT University 6 (Shaizhan, Alibek, Rsaliyev)	-6	.	.	.	.	.	.	.	.	.	.	.	0	0
99	Karaganda Economic University of Kazpotrebsoyuz 1 (Ptitsyn, Spitsyn, Zhukov)	.	.	.	.	.	.	.	.	.	.	.	.	0	0
99	Karaganda Economic University of Kazpotrebsoyuz 2 (Weber, Bugayets, Almambetov)	.	.	.	.	.	.	.	.	.	.	.	.	0	0
99	Karaganda State Technical University 2 (Axanov, Saden, Seitkaliyev)	-1	.	.	.	.	.	.	.	.	.	.	.	0	0
99	Kazakh National University named Al-Farabi 1 (Abilov, Bektursyn, Toyekin)	-3	.	.	.	.	.	.	.	.	.	.	.	0	0
99	Kazakh National University named Al-Farabi 2 (Kabyken, Mukhambetov, Tolekov)	.	.	.	.	.	.	.	.	.	.	.	.	0	0
99	Kazakh National University named Al-Farabi 4 (Khodzhabekov, , )	.	.	.	.	.	.	.	.	.	.	.	.	0	0
99	Kazakh-British Technical University 21 (Imangaly, Nugmanova, Atabay)	.	.	.	.	.	.	.	.	.	.	.	.	0	0
99	Kazakh-British Technical University 25 (Akhmetov, Temirbek, Ospan)	-12	-2	.	.	.	.	.	.	.	.	.	.	0	0
99	Kazakh-British Technical University 26 (Ramazan, Kurmangali, Zhussipov)	-8	.	.	.	.	.	.	.	.	.	.	.	0	0
99	Kazakhstan Branch of Moscow State University 3 (Gazizov, Korobov, Bolotnikov)	.	.	.	.	.	.	.	.	.	.	.	.	0	0
99	Military Engineering Institute of Radioelectronics and Communication (Segizbay, , )	.	.	.	.	.	.	.	.	.	.	.	.	0	0
99	Narxoz University 2 (Azizov, Mordacheva, )	.	.	.	.	.	.	.	.	.	.	.	.	0	0
99	Nazarbayev University 14 (Sapraliyev, Smagulov, Amirkhanov)	.	.	.	.	.	.	.	.	.	.	.	.	0	0
99	Nazarbayev University 15 (Amangeldiyev, Mukashov, Sagynov)	.	.	.	.	.	.	.	.	.	.	.	.	0	0
99	Nazarbayev University 25 (Kaspakov, Yeskabyl, Sakenov)	.	.	.	.	.	.	.	.	.	.	.	.	0	0
99	Nazarbayev University 27 (Yeltayev, Shamil, Zhanbek)	.	.	.	.	.	.	.	.	.	.	.	.	0	0
99	North Kazakhstan State University (Kurmashev, , )	.	.	.	.	.	.	.	.	.	.	.	.	0	0
99	Pavlodar State University named S. Toraigyrov 2 (Sabitov, Kadyrbay, Karayev)	.	.	.	.	.	.	.	.	.	.	.	.	0	0
99	South Kazakhstan State University named M. Auezov (Kenzhebayeva, , )	-2	.	.	.	.	.	.	.	.	.	.	.	0	0
99	The Institute of New Information Technologies at KSUCTA (Boiutov, , )	.	.	.	.	.	.	.	.	.	.	.	.	0	0
99	International IT University 12 (Marlan, Lepsybaeva, Kumarbek)	.	.	.	.	.	.	.	.	.	.	.	.	0	0
99	International IT University 13 (Копбосын, Байымбет)	-3	.	.	.	.	.	.	.	.	.	.	.	0	0
99	Kazakh National Technical University named Satpayev 3 (Zaurbekov, Kemalov)	.	.	.	.	-2	.	.	.	.	.	.	.	0	0
99	International IT University 16 (Smagulov, Kadirov)	-2	.	.	.	.	.	.	.	.	.	.	.	0	0
	Total runs	243	160	21	81	209	10	107	23	40	91	192	31
	Accepted	99	67	4	4	58	6	50	2	15	34	52	1
	Rejected	144	93	17	77	151	4	57	21	25	57	140	30
	First Accept	7:36	10:00	55:52	93:19	10:06	131:56	21:18	226:54	62:45	49:27	26:22	286:18
	Last Accept	179:39	286:27	205:50	242:54	296:17	299:13	294:32	247:37	293:10	297:44	298:29	286:18
