Rank	Team	A	B	C	D	E	F	G	H	I	J	K	=	Time
30	Kazakh-British TU 3	.	+5 (173:26)	-3	.	.	.	-2	.	+3 (113:15)	.	.	2	446
31	EKSTU1	.	+4 (225:21)	-1	.	.	.	.	.	+3 (86:46)	-3	.	2	451
32	Kazakh NU 8	.	+ (90:12)	-2	.	.	.	.	.	+7 (259:17)	.	.	2	489
33	Suleyman Demirel U 1	.	+4 (191:40)	-1	.	.	.	-3	.	+6 (139:19)	-3	.	2	530
34	Kazakh-British TU 9	.	+10 (98:35)	.	.	-1	.	.	.	+5 (201:53)	.	.	2	599
35	AIPET2	.	+3 (272:32)	-7	.	.	.	.	.	+5 (174:55)	.	.	2	606
36	iktu1	.	+3 (244:26)	-6	.	.	.	.	.	+3 (261:45)	.	.	2	625
37	Karaganda SU	.	+11 (260:42)	-2	.	.	.	.	.	+ (146:12)	.	.	2	626
38	Suleyman Demirel U 5	.	+3 (220:01)	-8	.	.	.	.	.	+8 (204:22)	.	.	2	644
39	Kazakh NU 4	.	+6 (239:55)	.	.	.	.	.	-2	+4 (229:40)	.	.	2	668
40	Kazakh-British TU 7	.	+7 (274:42)	-4	.	.	.	-1	.	+6 (195:09)	.	.	2	729
41	Suleyman Demirel U 4	.	-12	-2	.	.	.	.	.	+ (82:13)	.	.	1	82
42	Kostanay STU	.	+ (109:48)	-1	.	.	.	.	.	-4	.	.	1	109
43	Kazakh NTU 5	.	+ (148:40)	-5	.	-4	.	.	.	-5	.	.	1	148
44	Kazakh NU 7	.	+1 (144:58)	-4	.	.	.	.	.	-9	.	.	1	164
45	Kazakh NTU 6	.	+1 (178:48)	-3	.	.	.	.	.	-12	.	.	1	198
46	Petropavlovsk, NKSU	.	+1 (186:11)	-3	.	.	.	.	-1	-6	-3	.	1	206
47	Kazakh NTU 2	.	-2	.	.	.	.	.	.	+4 (157:08)	-2	.	1	237
48	Kazakh NU 14	.	+2 (229:05)	-3	.	.	.	.	.	-3	.	.	1	269
49	Kazakh NTU 3	.	-3	-7	.	.	.	.	.	+3 (259:33)	.	.	1	319
50	AIPET3	.	+2 (289:53)	-1	.	.	.	.	.	-7	.	.	1	329
51	Kazakh NU 6	.	+4 (251:29)	-6	.	.	.	.	.	.	.	.	1	331
52	Karaganda STU 2	.	-11	-14	.	.	.	.	-2	+9 (172:38)	.	.	1	352
53	Kazakh NU 15	.	+8 (206:32)	.	.	-2	.	.	.	-7	.	.	1	366
54	Kazakh NTU 1	.	-3	.	.	-6	.	.	.	+6 (248:29)	.	.	1	368
55	SemGPI	.	-5	.	.	.	.	.	.	+7 (246:01)	.	.	1	386
56	Kazakh NTU 4	.	+6 (295:46)	.	.	.	.	.	.	.	.	.	1	415
57	Kazakh NU 5	.	-3	-1	.	.	.	.	.	+8 (269:15)	-2	.	1	429
58	Aktobe SU	.	.	.	.	.	.	.	.	.	.	.	0	0
58	Aktubinsk SPI 1	.	-1	.	.	.	.	-2	.	-6	.	.	0	0
58	AIPET: NILS1	-1	-9	-1	-1	-1	-2	-2	-2	-4	-2	-5	0	0
58	AIPET: NILS3	-1	.	.	-1	.	.	.	.	.	.	-1	0	0
58	AIPET: NILS4	.	.	.	.	.	.	.	.	.	.	.	0	0
58	AIPET: NILS5	.	.	.	.	.	.	.	.	-1	.	.	0	0
58	AIPET: NILS6	.	-1	.	.	.	.	.	.	.	.	.	0	0
58	AIPET: NILS8	.	-1	-6	.	.	.	-4	.	-42	.	.	0	0
58	AIPET5	.	.	.	.	.	.	.	.	.	.	.	0	0
58	AIPET6	.	-17	-9	.	.	.	.	-4	.	.	.	0	0
58	Atyrau SU 2	.	-10	.	.	.	.	.	.	.	.	.	0	0
58	Atyrau SU 1	.	.	.	.	.	.	.	.	-6	.	.	0	0
58	EKSU	.	-8	-6	.	.	.	.	.	.	.	.	0	0
58	Eurasian NU2	.	-24	.	.	.	.	.	.	-4	.	.	0	0
58	Eurasian NU3	.	.	-2	.	.	.	.	.	-4	.	.	0	0
58	KazATC 3	.	.	.	.	.	.	.	.	.	.	.	0	0
58	KazATC1: lamers	.	.	.	.	.	.	.	.	-29	.	.	0	0
58	KazATC 2	.	.	.	.	.	.	.	.	.	.	.	0	0
58	KazATU 1	.	-6	-7	.	.	.	.	.	-8	.	.	0	0
58	Kazakh NTU 5:KBK	.	.	-5	.	.	.	.	.	-4	.	.	0	0
58	Kazakh NTU 7	.	.	-2	.	-15	.	.	.	.	.	.	0	0
58	Kazakh NU 1	.	-3	.	.	-1	.	.	.	-4	.	.	0	0
58	Kazakh NU 2	.	-5	-1	.	-1	.	-1	.	-2	.	.	0	0
58	Kazakh NU 3	.	-7	-3	.	.	.	.	.	.	.	.	0	0
58	Kazakh NU 9	.	.	-3	.	.	.	.	.	.	.	.	0	0
58	Kazakh NU 10	.	.	-8	.	.	.	.	.	-1	.	.	0	0
58	Kazakh NU 12	.	.	-3	.	.	.	.	.	.	.	.	0	0
58	KostanaySU	.	.	.	.	.	.	.	.	.	.	.	0	0
58	RudnyII	.	-24	-4	.	.	.	.	.	-10	.	.	0	0
58	Taraz SPedI	.	-6	-4	.	.	.	.	.	-4	.	.	0	0
58	Kazakh NTU 3: DRG	.	-1	-2	.	.	.	.	.	-2	.	.	0	0
	Total runs	3	337	305	2	44	2	97	33	353	70	6
	Accepted	1	50	0	0	0	0	1	0	48	7	0
	Rejected	2	287	305	2	44	2	96	33	305	63	6
	First Accept	236:11	15:22					145:18		21:28	44:25	
	Last Accept	236:11	295:46					145:18		269:15	277:11	
