Rank	Team	A	B	C	D	E	F	G	H	I	J	K	=	Time
22	Belarus SU 2	+8 (296:09)	.	.	+ (198:12)	+ (114:49)	+ (148:45)	+4 (272:10)	-1	+ (40:56)	+1 (111:12)	.	7	1439
23	Ivanovo SPU 1	+2 (202:18)	.	.	+ (224:55)	+1 (128:47)	+7 (124:51)	.	+1 (280:46)	+3 (94:50)	+ (142:18)	.	7	1474
24	Saratov SU 3	+ (97:58)	.	.	+ (114:10)	+1 (79:14)	+1 (13:36)	.	.	+ (30:15)	+1 (58:04)	.	6	451
25	SPb SU 3	-9	.	.	+ (124:43)	+ (51:58)	+1 (73:52)	+1 (135:30)	-1	+ (23:27)	+ (31:31)	.	6	477
26	SPb IFMO 2	+2 (110:47)	.	-1	+ (133:38)	+1 (55:49)	+1 (37:55)	.	.	+ (43:59)	+ (103:03)	.	6	561
27	SPb ETU	+ (84:29)	-1	-2	+ (113:47)	+ (160:06)	+ (57:27)	.	.	+ (31:54)	+ (154:23)	.	6	599
28	Saratov SU 4	+ (116:23)	.	.	+ (142:42)	+ (107:16)	+ (52:18)	.	.	+ (24:12)	+1 (276:46)	.	6	737
29	SPb SU 4	+ (95:07)	.	-4	+ (219:58)	+ (175:18)	+ (116:53)	.	.	+ (48:19)	+ (145:09)	.	6	798
30	Ural SU 3	+ (87:36)	.	.	+ (134:50)	+1 (224:06)	+3 (124:25)	.	-12	+1 (35:16)	+ (163:18)	.	6	867
31	Izhevsk STU	+2 (217:18)	.	-5	+ (171:44)	+ (65:33)	+6 (182:55)	.	.	+ (33:19)	+2 (100:50)	.	6	968
32	Vologda SPU 1	+3 (201:11)	.	.	+ (149:29)	+ (88:00)	+2 (250:24)	.	.	+1 (46:32)	+3 (81:03)	.	6	995
33	Udmurt SU	+1 (99:37)	.	-1	+ (248:41)	+ (231:20)	+1 (41:14)	.	.	+4 (110:05)	+1 (151:53)	.	6	1020
34	Tartu U	-4	.	.	+ (25:52)	+1 (285:49)	+2 (207:12)	.	+ (267:24)	+ (52:52)	+1 (106:19)	.	6	1022
35	Kyrgyz-Russian Slav U 2	+ (207:25)	.	.	+ (298:42)	+ (147:56)	+1 (99:38)	.	.	+ (42:21)	+ (271:07)	.	6	1084
36	Orel STU 1	+7 (254:30)	.	.	+ (70:59)	+ (154:12)	+1 (287:32)	.	.	+ (35:59)	+ (222:15)	.	6	1182
37	Latvia U 1	+2 (191:22)	.	.	+ (141:09)	+ (102:08)	-9	.	+2 (296:41)	+2 (40:45)	+4 (278:27)	.	6	1248
38	Moscow SU 4	+1 (94:32)	.	.	+ (213:54)	+2 (185:55)	+6 (219:53)	.	+1 (292:11)	+ (70:55)	.	.	6	1273
39	Kazakh NU 1	+ (103:38)	.	.	+ (173:28)	.	+ (75:54)	.	.	+ (43:44)	+ (131:01)	.	5	525
40	Moscow SU 2	-7	.	-1	+2 (276:08)	+ (102:16)	+ (108:03)	.	-3	+ (30:23)	+2 (61:48)	.	5	657
41	Kant SU of Russia 2	.	.	.	+ (96:04)	+ (253:51)	+ (145:46)	.	-2	+ (42:10)	+ (188:41)	.	5	724
42	Belarus SU 1	-11	.	-1	+ (264:00)	+1 (145:53)	+ (82:07)	.	.	+ (40:13)	+ (194:40)	.	5	745
43	Kazakh NTU 1	+8 (283:45)	.	.	+ (148:05)	+ (166:23)	+1 (56:07)	.	.	+ (32:53)	-4	.	5	865
44	Moscow EPhI	+1 (219:31)	.	.	+ (194:22)	.	+1 (159:11)	.	.	+ (22:51)	+ (253:35)	-2	5	887
45	Petrozavodsk SU 3	+5 (291:06)	.	.	+ (261:21)	+1 (101:05)	-2	.	.	+ (57:22)	+ (139:42)	.	5	969
46	Saratov SU 1	+1 (273:51)	.	.	+ (198:15)	+ (151:01)	-1	.	.	+1 (76:33)	+ (249:57)	.	5	987
47	Kazan SU 1	+2 (97:54)	.	.	.	+1 (229:16)	+ (288:00)	.	.	+ (26:23)	+3 (240:19)	.	5	1000
48	Petrozavodsk SU 2	.	.	.	+ (244:56)	+ (184:56)	+1 (273:43)	.	.	+1 (45:47)	+3 (220:10)	.	5	1066
49	Gomel SU 1	-5	.	.	+ (241:58)	+ (290:59)	+6 (190:02)	.	.	+ (42:11)	+ (212:41)	.	5	1095
50	Far Eastern SU 1	+ (113:52)	.	.	+ (153:41)	-4	+1 (75:08)	.	.	+ (63:23)	-10	.	4	424
51	SPb SPU	+2 (206:06)	.	.	+ (125:58)	.	-2	.	.	+ (47:41)	+ (89:21)	.	4	507
52	Astrakhan STU	-3	.	.	+ (217:05)	+ (185:03)	+ (145:30)	.	.	+ (57:55)	.	.	4	604
53	Novosibirsk SU 2	.	-3	.	+ (270:20)	.	+ (206:37)	.	.	+1 (38:22)	+ (99:03)	.	4	633
54	Moscow PEI	+1 (153:20)	.	.	.	+1 (117:13)	+4 (254:55)	.	-2	+1 (36:55)	-4	.	4	700
55	Latvia U 2	+ (72:33)	.	.	+1 (226:44)	.	.	.	-1	+ (33:41)	+3 (294:31)	.	4	705
56	Stavropol SU	+6 (291:26)	.	.	+ (188:57)	+ (127:56)	-5	.	.	+ (10:57)	-3	.	4	736
57	South Ural SU 2	+2 (274:28)	.	.	+ (260:22)	.	-3	.	.	+ (33:22)	+2 (196:31)	.	4	843
58	Ivanovo SPU 2	.	+3 (216:49)	.	+2 (294:06)	.	.	.	.	+ (72:54)	+4 (166:54)	.	4	928
59	Tashkent U of IT 4	+ (269:12)	.	-2	+ (254:45)	+2 (285:40)	-5	.	.	+2 (150:06)	.	.	4	1038
60	Kaunas TU 1	-2	.	.	+ (176:38)	+ (112:23)	.	.	.	+1 (61:07)	-1	.	3	369
61	Orel STU 2	-4	.	.	+ (197:02)	.	+1 (101:18)	.	.	+2 (55:10)	.	.	3	413
62	Tyumen SOGU	-2	.	.	.	.	+ (282:33)	.	.	+1 (63:03)	+ (114:16)	.	3	479
63	Yerevan SU 1	-9	.	.	+1 (280:45)	.	-7	.	.	+2 (46:43)	+2 (107:13)	.	3	533
64	Perm SU 2	+4 (213:09)	.	.	-1	.	+2 (160:17)	.	.	+ (47:42)	-8	.	3	540
65	Khakas SU	+ (288:11)	.	.	+ (221:47)	.	-3	.	.	+ (32:04)	-3	.	3	541
66	Vilnius U	+2 (197:41)	.	.	+ (132:45)	-1	.	.	.	+1 (167:37)	-3	.	3	556
66	Tomsk SU	.	+1 (297:35)	.	.	.	.	.	.	+ (66:14)	+1 (153:52)	.	3	556
68	Siberian SUTI	+4 (179:46)	.	.	+ (229:51)	.	-4	.	.	+ (83:25)	-2	.	3	571
69	Altai STU 2	.	.	.	.	+1 (243:09)	+2 (211:41)	.	.	+ (61:23)	-2	.	3	575
70	Moscow IPT 2	-2	.	.	.	-2	+ (246:56)	+2 (292:51)	.	+ (59:11)	-5	.	3	637
71	Tashkent U of IT 2	.	.	.	-1	+ (272:32)	+7 (201:18)	.	.	+ (37:00)	.	.	3	650
72	Moscow AI	+ (231:52)	.	.	.	.	-4	.	.	+2 (130:06)	+5 (154:07)	.	3	655
73	Pomor SU	+3 (273:35)	.	.	.	.	+3 (282:35)	.	.	+2 (69:07)	.	.	3	784
74	Kant SU of Russia 1	.	.	.	+1 (176:04)	.	+1 (228:47)	.	.	+5 (247:09)	.	.	3	791
75	Suleyman Demirel U 2	-5	.	.	.	.	+2 (87:56)	.	.	+1 (84:59)	-3	.	2	231
76	Gomel SU 2	+ (180:42)	.	.	-5	-3	-4	.	.	+1 (44:59)	-2	.	2	244
77	Orenburg SU	-2	.	-1	.	-4	-2	.	.	+ (24:57)	+2 (182:39)	.	2	246
78	Baikal SU of EL	.	.	.	.	-6	-1	.	.	+1 (46:15)	+1 (171:32)	.	2	257
79	Krasnoyarsk STU 1	.	.	.	+ (171:52)	.	-6	.	.	+3 (56:55)	-2	.	2	287
80	Belarus SU 3	-10	.	.	.	.	-5	.	+2 (207:32)	+1 (43:06)	-4	.	2	310
81	Tomsk U of CSR	-2	+ (270:52)	.	.	-2	.	.	-2	+ (42:42)	.	.	2	312
82	Rybinsk SAAT 1	-2	-6	.	.	+1 (179:22)	.	.	.	+3 (57:10)	.	.	2	316
83	Altai SU	-8	.	.	.	.	-4	.	.	+ (68:03)	+5 (151:28)	.	2	319
84	Far Eastern IPIT	.	.	.	+ (85:46)	.	-5	.	.	+3 (178:16)	.	.	2	323
85	Altai STU 3	-3	.	.	.	+4 (167:46)	-5	.	.	+1 (70:39)	.	.	2	337
86	Omsk SU	-11	.	.	.	-3	-1	.	+1 (297:19)	+ (25:53)	.	.	2	342
87	Kazan SU 2	+ (287:28)	-4	.	.	.	-1	.	.	+ (70:53)	.	.	2	357
88	Vologda SPU 2	+4 (206:50)	.	.	.	.	.	.	.	+ (80:26)	.	.	2	366
89	Tbilisi SU 3	+ (242:40)	.	.	.	.	-1	.	.	+1 (106:36)	-11	.	2	368
90	Far Eastern SU	+3 (247:38)	.	.	.	.	-2	.	.	+ (70:07)	-14	.	2	377
91	Siberian SIU	-7	.	.	.	.	+6 (290:21)	.	.	+ (25:06)	.	.	2	435
92	Pskov SPI	.	.	.	-1	.	.	.	.	+2 (86:07)	+5 (245:33)	.	2	471
93	Volgograd SU	-6	.	.	.	.	.	.	.	+2 (134:51)	+6 (269:29)	.	2	563
94	SPb IFMO 4	-6	.	.	.	+ (242:47)	+5 (269:50)	.	.	-2	.	.	2	611
95	Tbilisi SU 2	.	.	.	.	.	+15 (299:00)	.	.	+ (103:55)	-3	.	2	702
96	Karaganda STU 3	.	.	.	.	-1	.	.	.	+10 (297:00)	+6 (195:57)	.	2	812
97	Novosibirsk SU 3	.	.	.	.	.	-5	.	.	+ (40:36)	-11	.	1	40
98	Krasnoyarsk SU	.	.	.	.	.	.	.	.	+ (52:41)	.	.	1	52
99	Tomsk PU	.	.	.	.	.	-3	.	.	+ (60:51)	-19	-5	1	60
100	Karaganda STU 2	.	.	.	.	.	-8	.	.	+1 (69:28)	-4	.	1	89
101	Kazakh-British TU 2	-3	.	.	.	.	-6	.	.	+ (101:46)	.	.	1	101
102	Kazakh-British TU 4	-4	.	.	.	.	.	.	.	+ (104:27)	-3	.	1	104
103	Novosibirsk STU 2	.	.	.	-1	.	-1	.	-1	+2 (68:23)	.	.	1	108
104	Yerevan SU 3	-2	.	.	.	.	-3	.	.	+ (110:44)	-7	.	1	110
105	Russian-Armenian SU 2	.	.	.	.	.	.	.	.	+1 (95:15)	.	.	1	115
106	Kazakh-British TU 3	.	.	.	-2	.	.	.	.	+1 (123:56)	.	.	1	143
107	Novosibirsk STU 1	-6	.	.	.	.	-8	.	.	+1 (126:23)	.	.	1	146
108	Astana Eurasian NU 1	.	.	.	.	.	.	.	.	+2 (129:08)	.	.	1	169
109	Tbilisi SU 4	.	.	.	.	.	.	.	.	+ (172:58)	-6	.	1	172
110	Armenia SEU	.	.	.	.	.	-2	.	.	+2 (145:10)	.	.	1	185
111	Pacific Ocean SU	.	.	.	.	.	-9	.	.	+2 (151:39)	-12	.	1	191
112	Rybinsk SAAT 2	-1	.	.	-1	-2	-7	.	-1	+3 (133:15)	.	.	1	193
113	Yerevan SU 2	.	.	.	.	.	-2	.	.	+3 (145:44)	-3	.	1	205
113	Suleyman Demirel U 4	.	.	.	.	.	.	.	.	+ (205:13)	.	.	1	205
115	Uzbekistan NU 2	.	.	.	.	.	-5	.	.	+ (217:42)	-4	.	1	217
116	Biysk TI	-2	.	.	.	.	.	.	.	+2 (189:46)	.	.	1	229
117	Irkutsk STU	.	.	.	.	.	.	.	.	+4 (161:21)	-2	.	1	241
118	East-Siberian STU	.	.	.	.	.	-3	.	.	+3 (200:48)	-2	.	1	260
119	Amur SU	.	.	.	.	.	-2	.	.	+4 (197:43)	.	.	1	277
120	East Kazakhstan STU	.	.	.	.	.	-4	.	.	+1 (271:16)	.	.	1	291
121	U of World Econ and Diplomacy	.	.	.	.	-4	.	.	.	+4 (257:42)	-9	.	1	337
122	Altai STU 4	.	.	.	.	.	-9	.	.	+7 (220:43)	-6	.	1	360
123	Suleyman Demirel U 3	.	.	.	.	.	.	.	.	+4 (290:29)	-5	.	1	370
124	Karaganda STU 1	.	.	.	.	-1	.	.	.	+4 (291:21)	.	.	1	371
125	Tashkent U of IT 1	.	.	.	.	.	-3	.	.	+7 (256:38)	.	.	1	396
126	North Kazakhstan SU	.	.	.	.	.	-5	.	.	+7 (259:46)	-9	.	1	399
127	Krasnoyarsk STU 2	.	.	.	.	.	-7	.	.	+9 (287:33)	-10	.	1	467
128	Novosibirsk SPU	.	.	.	.	.	-3	.	.	-2	-1	.	0	0
128	Novokuznetsk B of Kemerovo SU	.	.	.	.	.	-4	.	.	-7	-2	.	0	0
128	Kemerovo SU	.	.	.	.	.	-8	.	.	-4	.	.	0	0
128	Kyrgyz-Russian Slav U 3	.	.	.	.	.	.	.	.	-4	-12	.	0	0
128	Kyrgyz NU	.	.	.	.	.	.	.	.	-2	-7	.	0	0
128	Kyrgyz STU	.	.	.	.	.	-3	.	.	-3	-5	.	0	0
128	East Kazakhstan SU	.	.	.	.	.	-6	.	.	-3	-4	.	0	0
128	Far Eastern SA for Hum and Soc	.	.	.	.	.	.	.	.	-8	-1	.	0	0
128	Kyrgyz SU of CTA	.	.	.	.	.	.	.	.	-4	-6	.	0	0
128	Tbilisi Georgian-French I	.	.	.	.	.	.	.	.	.	-5	.	0	0
128	Qafqaz U 1	.	.	.	.	.	.	.	.	.	-1	.	0	0
128	Kutaisi STU 2	.	.	.	.	.	-1	.	.	-4	-9	.	0	0
128	Russian-Armenian SU 1	.	.	.	.	.	-3	.	.	-3	.	.	0	0
128	Baku SU	.	.	.	.	.	.	.	.	.	.	.	0	0
128	Georgia STU	.	.	.	.	.	.	.	.	-1	.	.	0	0
128	Qafqaz U 2	.	.	.	.	.	-4	.	.	.	-1	.	0	0
128	Tbilisi I Black Sea U	.	.	.	.	.	-4	.	.	.	-3	.	0	0
128	American U of Armenia	.	.	.	.	.	.	.	.	.	.	.	0	0
128	Kutaisi STU 1	.	.	.	.	.	.	.	.	-8	-3	.	0	0
128	Russian-Armenian SU 3	.	.	.	.	.	.	.	.	-3	.	.	0	0
128	Suleyman Demirel U 1	.	.	.	.	.	.	.	.	-8	-3	.	0	0
128	Andijan IEE	.	.	.	.	.	-3	.	.	-6	-2	.	0	0
128	Gulistan SU 1	.	.	.	.	.	-6	.	.	.	-15	.	0	0
128	Karakalpak SU	.	.	.	.	.	-1	.	.	.	-5	.	0	0
128	Uzbekistan NU 1	.	.	.	.	.	.	.	.	-4	.	.	0	0
128	Uzbekistan NU 3	.	.	.	.	.	.	.	.	-6	-8	.	0	0
128	Samarkand C of Tashkent UIT	.	.	.	.	.	.	.	.	-6	-8	.	0	0
128	Kazakh NU 2	.	-3	.	.	.	.	.	.	-7	.	.	0	0
128	Westminster IU Tashkent 1	.	.	.	-1	.	-3	.	.	-1	-5	.	0	0
128	Kazakh NTU 2	.	.	.	.	.	-2	.	.	.	-5	.	0	0
128	Astana Eurasian NU 2	.	.	.	.	.	.	.	.	-2	-1	.	0	0
128	Tashkent U of IT 3	.	.	.	.	.	.	.	.	.	-1	.	0	0
128	Kazakh NU 3	.	.	.	.	.	-6	.	.	.	-3	.	0	0
128	Samarkand SU 1	.	.	.	.	.	-6	.	.	.	-16	.	0	0
128	Westminster IU Tashkent 2	.	.	.	.	.	-2	.	.	-7	.	.	0	0
128	Gulistan SU 2	.	-2	.	.	.	.	.	.	.	-5	.	0	0
128	Kazakh NTU 3	.	.	.	.	.	.	.	.	-2	.	.	0	0
128	Samarkand SU 2	.	.	.	.	.	-8	.	.	.	-4	.	0	0
128	Westminster IU Tashkent 3	.	.	.	.	.	.	.	.	.	.	.	0	0
128	Ferghana PI	.	.	.	.	.	-3	.	.	-2	-6	.	0	0
128	Kazakh NU 4	-6	.	.	.	.	-3	.	.	-6	.	.	0	0
128	Astana Eurasian NU 4	.	.	.	.	.	-6	.	.	-1	-7	.	0	0
128	Bukhara SU	.	.	.	.	.	.	.	.	.	-18	.	0	0
128	Kazakh NTU 4	.	.	.	.	.	-4	.	.	-2	-4	.	0	0
128	West Kazakhstan SU	.	.	.	.	.	.	.	.	-1	.	.	0	0
	Total runs	304	73	61	87	120	439	27	63	386	510	13
	Accepted	70	20	17	67	58	63	11	21	127	62	3
	Rejected	234	53	44	20	62	376	16	42	259	448	10
	First Accept	15:13	144:05	141:09	25:52	17:09	13:36	135:30	87:46	10:57	12:30	124:24
	Last Accept	299:39	299:41	298:48	298:42	296:49	299:00	292:51	297:19	297:00	294:31	218:40
