Rank	Team	A	B	C	D	E	F	G	H	I	J	K	L	=	Time
95	Tomsk S Pol U	-7	+ (97:12)	.	.	.	.	.	.	+4 (111:30)	.	.	.	2	288
96	HS of Economics	-1	+1 (25:15)	.	.	-5	+2 (222:53)	.	.	-8	.	.	.	2	307
96	Tbilisi SU 3	.	+1 (31:53)	.	.	-5	.	.	.	+1 (236:12)	.	.	.	2	307
98	Komsomolsk-on-Amur STU	+1 (291:13)	+ (43:00)	.	.	.	.	.	.	-5	.	.	.	2	354
99	Taganrog TI of SFU	-7	+ (73:13)	.	.	.	.	.	+4 (202:57)	-12	.	.	.	2	355
100	Siberian SUTI 2	.	+2 (152:27)	.	.	.	.	.	.	+1 (156:44)	.	.	.	2	368
100	Buryat SU	-1	+ (54:54)	.	.	.	.	.	.	+5 (214:07)	.	.	.	2	368
102	Kazakh NTU 2	.	+3 (79:59)	.	.	.	.	.	.	+ (230:58)	.	.	.	2	369
103	Irkutsk STU	-3	+2 (52:59)	.	.	.	.	.	.	+3 (219:17)	.	.	-2	2	371
104	Belarussian SU of IR 2	-1	+1 (94:29)	-2	.	.	.	.	.	+4 (196:56)	.	.	.	2	390
105	SibSIU	+1 (289:01)	+ (92:10)	.	.	.	.	.	.	-11	.	.	.	2	401
106	Petrozavodsk SU 2	+4 (287:42)	+ (44:06)	.	.	.	.	.	.	-3	.	.	.	2	411
107	Novosibirsk STU 2	-2	+ (223:32)	.	.	.	.	.	.	+2 (151:55)	.	.	.	2	414
107	NBI KemSU	-5	+ (54:36)	.	.	.	.	.	.	+4 (280:19)	.	.	.	2	414
109	Khakas SU	-5	+5 (120:44)	.	.	.	.	.	.	+1 (183:06)	.	.	.	2	423
110	Gomel SU	-3	+ (44:44)	.	.	-1	.	.	.	+8 (254:15)	.	.	.	2	458
111	Bauman Moscow STU	.	+1 (296:47)	.	.	.	.	.	.	+1 (138:13)	.	.	.	2	474
112	Suleyman Demirel U 4	.	+2 (80:44)	.	.	.	.	.	.	+6 (267:16)	.	.	.	2	507
113	Kutaisi SU 1	.	+5 (96:07)	.	.	.	.	.	.	+2 (274:07)	.	.	.	2	510
114	Baikal SU of EL	.	+2 (62:51)	.	.	.	.	.	.	+6 (296:23)	.	.	.	2	518
115	Kant SU of Russia 2	.	+ (26:48)	.	.	.	.	.	.	+12 (254:27)	.	.	.	2	520
116	PI SFU 2	-8	+ (87:25)	.	.	.	.	.	.	+10 (241:48)	.	.	.	2	528
117	Karaganda STU	+4 (249:24)	.	.	.	.	.	.	-1	+5 (267:46)	.	.	.	2	696
118	Yerevan SEUA 1	+3 (242:24)	+19 (119:56)	.	.	.	.	.	.	.	.	.	.	2	801
119	Rybinsk SAAT 1	.	+ (30:17)	.	.	.	.	.	-10	-4	.	.	.	1	30
120	KyrgyzRusSlavic U 2	.	+ (32:54)	.	.	.	.	.	-2	-7	.	.	.	1	32
121	Altai STU 3	.	+ (41:00)	.	.	.	.	.	.	-9	.	.	.	1	41
122	Tomsk SU 2	.	+ (48:24)	.	.	-1	.	.	.	-8	.	.	.	1	48
123	Novosibirsk STU 1	.	+ (49:08)	.	.	.	.	.	.	-10	.	.	.	1	49
124	SPb SU of AI	-3	+ (54:10)	.	.	.	.	.	.	.	.	.	-3	1	54
125	Tula SU	.	+ (60:57)	.	.	.	.	.	.	-5	.	.	.	1	60
126	Russian-Armenian SU 3	-4	+ (62:49)	.	.	.	.	.	.	-3	.	.	.	1	62
127	Orenburg SU 3	-2	+ (65:13)	.	.	.	.	.	.	-9	.	.	.	1	65
128	East Kazakhstan STU	.	+ (75:11)	.	.	.	.	.	-2	-7	.	.	.	1	75
129	Westminster IUT	.	+1 (63:41)	.	.	.	.	.	.	-3	.	.	.	1	83
130	Suleyman Demirel U 2	.	+1 (76:44)	.	.	.	.	.	.	-4	.	.	.	1	96
131	Tashkent UIT 3	.	+2 (66:00)	.	.	.	.	.	.	.	.	.	.	1	106
132	Sokhumi U	.	+ (110:05)	-2	.	.	.	.	.	-7	.	.	.	1	110
133	Kazakh-British TU 3	.	+ (113:33)	.	.	-3	.	.	.	-2	.	.	.	1	113
134	Urganch B of TUIT 1	.	+2 (86:50)	.	.	.	.	.	.	-6	.	.	.	1	126
135	Irkutsk SPU	-1	+ (130:01)	.	.	.	.	.	.	-9	.	.	.	1	130
136	American UCA	.	-3	.	.	-2	.	.	.	+2 (91:24)	.	.	.	1	131
137	Astana Moscow SU	-2	+ (132:11)	.	.	.	.	.	.	-4	.	.	.	1	132
138	Eurasian NU 1	.	+1 (114:34)	.	.	.	.	.	.	-6	.	.	.	1	134
139	Siberian SAU	.	.	.	.	.	.	.	.	+2 (140:27)	.	.	.	1	180
140	Moscow S Ind U	.	.	.	.	.	.	.	.	+1 (179:43)	.	.	-1	1	199
141	International Black Sea U 1	.	+6 (82:31)	.	.	.	.	.	.	.	.	.	.	1	202
142	Urgench SU	.	+1 (196:02)	.	.	.	.	.	.	.	.	.	.	1	216
143	Tashkent ABI	-3	+2 (280:12)	.	.	.	.	.	.	.	.	.	.	1	320
144	Suleyman Demirel U 1	.	+6 (208:54)	.	.	.	.	.	.	-1	.	.	.	1	328
145	Tashkent UIT 1	.	+4 (266:24)	.	.	.	.	.	.	.	.	.	.	1	346
146	Kyrgyz-Turkish MU	.	+4 (295:07)	.	.	-2	.	.	.	.	.	.	.	1	375
147	Urganch B of TUIT 3	-1	+6 (291:58)	.	.	.	.	.	.	.	.	.	.	1	411
148	Kyrgyz SUBTA	.	.	.	.	.	.	.	.	.	.	.	.	0	0
148	Khakas TI	.	.	.	.	.	.	.	.	.	.	.	.	0	0
148	Biysk TI	.	-1	.	.	-1	.	.	.	-3	.	.	.	0	0
148	East-Siberian STU	-6	.	.	.	.	.	.	.	-6	.	.	.	0	0
148	Novosibirsk SPedU	.	.	.	.	-10	.	.	.	-3	.	.	.	0	0
148	Siberian SU of Transport	.	.	.	.	.	.	.	.	-16	.	.	.	0	0
148	Eurasian NU 2	-1	-2	.	.	.	.	.	.	-1	.	.	.	0	0
148	Vladivostok SUES	.	.	.	.	.	.	.	.	.	.	.	.	0	0
148	Karaganda SU	-1	-3	.	.	.	.	.	.	-9	.	.	.	0	0
148	Pacific SU	.	.	.	.	.	.	.	.	.	.	.	.	0	0
148	Kutaisi SU 2	.	.	.	.	.	.	.	.	.	.	.	.	0	0
148	Kutaisi SU 3	.	.	.	.	.	.	.	.	-1	.	.	.	0	0
148	Batumi MA	.	.	.	.	.	.	.	.	.	.	.	.	0	0
148	Tbilisi Agmashenebeli U	.	.	.	.	.	.	.	.	.	.	.	.	0	0
148	International Black Sea U 2	.	-2	.	.	.	.	.	.	.	.	.	.	0	0
148	Russian-Armenian SU 2	.	.	.	.	.	.	.	.	.	.	.	.	0	0
148	Batumi SU 1	.	.	.	.	.	.	-5	.	.	.	.	.	0	0
148	Batumi SU 2	.	.	.	.	.	.	.	.	.	.	.	.	0	0
148	Batumi SU 3	.	-3	.	.	.	.	.	.	.	.	.	.	0	0
148	Yerevan SEUA 2	.	.	.	.	.	.	.	.	-7	.	.	.	0	0
148	Yerevan SU 3	.	.	.	.	.	.	.	.	.	.	.	.	0	0
148	Baku Qafqaz 1	.	-5	.	.	.	.	.	.	.	.	.	.	0	0
148	Baku Qafqaz 2	.	.	.	.	.	.	.	.	.	.	.	.	0	0
148	Almaty IPET 2	.	.	.	.	.	.	.	.	.	.	.	.	0	0
148	Samarkand B of TUIT 1	.	.	.	.	.	.	.	.	-2	.	.	.	0	0
148	West Kazakhstan SU 1	.	.	.	.	.	.	.	.	-9	.	.	.	0	0
148	Andijan EEI 2	-1	.	.	.	.	.	.	.	.	.	.	.	0	0
148	International Kazakh-Turkish U 2	-1	-1	.	.	.	.	.	.	-6	.	.	.	0	0
148	Gulistan SU 1	.	-5	.	.	.	.	.	.	-3	.	.	.	0	0
148	Kazakh-British TU 2	.	-5	.	.	.	.	.	.	-6	.	.	.	0	0
148	Samarkand B of TUIT 2	.	.	.	.	.	.	.	.	-2	.	.	.	0	0
148	Almaty IPET 4	.	.	.	.	.	.	.	.	.	.	.	.	0	0
148	Kazakh NU 1	.	.	.	.	.	.	.	.	.	.	.	.	0	0
148	Kazakh NPU	-1	.	.	.	.	.	.	.	-2	.	.	.	0	0
148	Tashkent B of Moscow SU 2	.	.	.	.	-1	.	.	.	-1	.	.	.	0	0
148	Almaty IPET 3	.	.	.	.	.	.	.	-1	-6	-1	.	.	0	0
148	Tashkent UIT 4	.	.	.	.	.	.	.	.	-1	.	.	.	0	0
148	Samarkand SU	.	-3	.	.	.	.	.	.	-1	.	.	.	0	0
148	U of World Economy and Diplomacy	.	-3	.	.	.	.	.	.	.	.	.	.	0	0
148	Almaty IPET 1	.	.	.	.	-4	.	.	.	-11	.	.	.	0	0
148	Kazakh-British TU 4	.	-2	.	.	.	.	.	.	-5	.	.	.	0	0
148	International Kazakh-Turkish U 1	.	.	.	.	-4	.	.	.	.	.	.	.	0	0
148	Karshi B of TUIT	.	.	.	.	.	.	.	.	-5	.	.	.	0	0
148	Tashkent SUE	.	.	.	.	.	.	.	.	.	.	.	.	0	0
148	Samarkand B of TUIT 3	.	-2	.	.	-1	.	.	.	-1	.	.	-2	0	0
148	West Kazakhstan SU 2	.	.	.	.	.	.	.	.	.	.	.	.	0	0
148	Urganch B of TUIT 2	.	-3	.	.	.	.	.	.	-1	.	.	.	0	0
148	Qarshi SU	.	-3	.	.	.	.	.	.	.	.	.	.	0	0
148	Andijan EEI 1	-4	-3	.	.	-1	.	.	.	.	.	.	.	0	0
	Total runs	268	315	11	0	327	58	39	137	615	89	1	26
	Accepted	77	146	0	0	33	7	12	53	111	47	0	4
	Rejected	191	169	11	0	294	51	27	84	504	42	1	22
	First Accept	19:52	8:43			96:57	157:38	125:15	69:20	33:07	117:04		154:19
	Last Accept	297:52	299:57			298:35	284:41	297:39	296:10	296:23	287:25		257:36
