Rank	Team	A	B	C	D	E	F	G	H	I	J	K	L	=	Time
151	Russian-Armenian U 5 (Davtyan, Hakobyan, Seyranyan)	+ (28:22)	.	.	.	.	.	+3 (292:34)	.	.	.	.	.	2	380
152	Perm HS of Econ (Chuprikov, Neustroev, Vursalov)	+ (26:21)	.	-3	.	.	.	+5 (271:57)	.	.	.	.	.	2	397
153	Kazakhstan Branch of Moscow SU (Maximets, Suvorova, Zhadikov)	+ (23:30)	.	.	.	.	.	+6 (266:29)	.	.	.	.	.	2	409
154	Novosibirsk STU 3 (Dubovoy, Obukhov, Zelenskiy)	+1 (89:01)	.	.	.	.	.	+4 (222:47)	-4	.	.	.	.	2	411
155	Vladivostok SUES (Katuev, Katuev, Shavlyugin)	+1 (30:25)	.	.	.	.	.	+6 (243:54)	-1	.	.	.	.	2	413
156	Moscow Eng Phys I 1 (Ignatov, Khazov, Tropin)	+ (45:17)	.	.	.	.	.	+6 (252:40)	-2	.	.	.	.	2	417
157	Novosibirsk STU 2 (Belyakov, Fedko, Sidorov)	+3 (62:31)	.	-7	.	.	.	+2 (292:04)	.	.	.	.	.	2	454
158	Tbilisi FreeUni 4 (Giglemiani, Kuprashvili, Lomitashvili)	+ (38:33)	.	-1	.	.	.	+10 (238:47)	.	.	.	.	.	2	476
159	Kyrgyz-Turkish Manas U (Bekboev, Ibragimov, Moldomurov)	+ (20:30)	.	.	.	.	.	-10	-4	.	.	.	.	1	20
160	International IT U 2 (Abuov, Maksut, Zhumazhanov)	+ (26:08)	.	.	.	-2	.	-10	.	.	.	.	.	1	26
