Rank	Team	A	B	C	D	E	F	G	H	I	J	K	L	=	Time
42	SPb ETU 2	+ (13:20)	+ (34:16)	.	.	+ (49:33)	.	.	+ (269:45)	+ (230:38)	.	+ (93:56)	.	6	688
43	Gomel SU	+ (25:05)	+ (16:02)	+1 (202:22)	.	+ (60:43)	.	.	-2	+ (225:13)	.	+4 (107:21)	.	6	735
44	Vilnius U 1	+1 (28:09)	+ (35:55)	.	.	+ (72:54)	.	+ (144:19)	+ (184:24)	+4 (181:29)	.	.	.	6	744
45	Latvia U 2	+ (21:15)	+2 (72:26)	+ (268:06)	+1 (107:17)	+ (116:35)	.	.	+ (102:58)	.	.	-5	.	6	746
46	Far Eastern National U 1	+ (14:16)	+ (38:37)	.	.	+ (64:10)	.	.	+ (172:16)	+1 (268:08)	.	+ (224:57)	.	6	800
47	Yaroslavl SU	+2 (26:30)	+2 (52:06)	+ (158:10)	.	+ (74:57)	.	+ (215:04)	+ (201:55)	-3	.	-1	.	6	806
48	Altai STU 2	+ (47:03)	+ (25:45)	.	.	+ (37:50)	.	.	+1 (258:48)	+2 (239:03)	.	+2 (187:42)	.	6	893
49	Orel STU 2	+ (35:16)	+ (59:21)	-1	.	+ (47:09)	.	.	+ (218:37)	+3 (197:19)	.	+3 (238:57)	.	6	914
50	Syktyvkar SU	+1 (38:19)	+2 (79:07)	.	.	+ (59:08)	.	+ (268:00)	+1 (105:16)	+5 (201:15)	.	.	-2	6	930
51	Ural SU 3	+1 (26:58)	+ (49:15)	.	.	+ (45:26)	.	-2	+1 (87:40)	+1 (288:42)	.	+9 (296:36)	.	6	1031
52	Karelian S Ped U	+ (34:52)	+ (24:09)	.	.	+1 (69:54)	.	.	+3 (230:20)	+1 (154:01)	.	+12 (298:18)	.	6	1149
53	Saratov SU 1	+ (37:50)	+ (42:34)	.	.	+ (66:07)	.	.	+1 (208:54)	+ (134:09)	.	-4	.	5	507
54	Kyrgyz-Russian Slavic U 2	+ (16:17)	+ (52:44)	.	.	+ (89:36)	.	.	-2	+1 (136:20)	.	+ (219:34)	.	5	532
55	Petrozavodsk SU 3	+ (21:09)	+1 (24:15)	.	.	+ (46:56)	.	-3	+ (154:05)	+3 (235:45)	.	.	.	5	560
56	Vilnius U 2	+ (57:22)	+1 (58:54)	.	-4	+ (89:26)	.	.	+ (175:06)	.	.	+ (167:46)	.	5	566
57	Tomsk PU	+ (61:55)	+1 (46:59)	.	.	+ (72:52)	.	+ (166:50)	+ (202:43)	.	.	-2	.	5	567
58	Tyumen SOGU 	+ (21:42)	+ (50:46)	.	.	+ (71:36)	.	.	+ (169:50)	-2	.	+ (258:51)	.	5	569
59	Rybinsk SAAT	+ (16:04)	+4 (51:53)	+1 (231:04)	.	+ (59:01)	.	.	+ (116:58)	-10	.	-1	.	5	573
60	Tashkent UIT 2	+ (57:44)	+1 (34:01)	+1 (183:19)	-4	+ (69:23)	.	.	-1	+3 (137:47)	.	.	.	5	580
60	Novosibirsk STU 1	+ (14:54)	+ (44:37)	.	.	+ (81:39)	.	.	+ (185:24)	-6	.	+ (256:30)	.	5	580
62	Samara SU 	+ (16:00)	+ (55:20)	.	-3	+ (40:24)	.	.	-1	+2 (135:19)	.	+3 (289:42)	.	5	635
63	Kazan SU	+ (35:55)	+ (103:30)	.	.	+ (51:09)	.	.	+ (215:04)	-2	.	+3 (184:50)	.	5	648
64	Siberian SUTI	+ (92:22)	+ (81:40)	.	.	+ (26:43)	.	.	+ (267:10)	-1	.	+1 (187:14)	.	5	673
65	Yerevan SU 3	+ (55:18)	+2 (78:54)	.	.	+ (85:45)	.	.	+1 (225:49)	+1 (153:18)	-3	.	.	5	676
66	Ufa S Aviation and Tech U 2	+ (60:55)	+1 (29:43)	+ (296:07)	-1	+ (52:06)	.	+ (258:11)	.	-6	.	.	.	5	715
67	Kazan STU	+1 (33:08)	+ (46:11)	.	.	+4 (183:18)	.	.	+ (138:16)	+3 (156:04)	.	.	.	5	716
68	Almaty Suleyman Demirel U 1	+ (66:54)	+2 (47:26)	-1	.	+ (90:24)	.	.	+ (197:34)	.	.	+2 (257:57)	.	5	737
69	Moscow Power Engineering I	+ (26:31)	+4 (104:17)	+ (259:36)	.	+2 (81:35)	.	+1 (204:42)	.	.	.	.	.	5	814
70	Siberian SIU	+ (28:09)	+1 (49:45)	.	+6 (297:25)	+ (102:24)	.	.	+ (204:42)	.	.	.	.	5	820
71	Samara S Aerospace U	+ (24:15)	+ (43:49)	-2	.	+1 (94:44)	.	.	+ (265:02)	+5 (284:11)	.	.	.	5	830
72	Baikal SU of EL 	+ (90:18)	+2 (119:05)	.	.	+ (72:40)	.	+1 (290:08)	+ (264:38)	-3	.	.	.	5	895
73	Far Eastern IPIT	+2 (110:41)	+ (37:04)	.	.	+1 (136:30)	.	.	+ (293:32)	+4 (278:12)	.	.	.	5	994
74	Kazakh-British TU 2	+ (16:33)	+ (23:51)	.	-4	+ (38:59)	.	.	-1	-7	.	+ (228:05)	.	4	305
75	Yerevan SU 1	+ (51:20)	+1 (54:35)	.	.	+ (95:28)	.	.	+ (127:08)	-5	.	-9	.	4	347
76	Grodno SU 	+ (22:00)	+ (58:56)	.	.	+ (104:20)	.	.	.	+ (213:55)	.	.	.	4	397
77	Novosibirsk SU 2	+1 (55:34)	+ (81:48)	.	.	+ (96:04)	.	.	+ (152:23)	-7	.	.	.	4	404
78	Tomsk USUR	+ (25:59)	+1 (86:15)	.	.	+ (116:00)	.	.	+ (273:15)	.	.	.	.	4	520
79	Kazakh NU 1	+1 (29:14)	+ (56:07)	.	.	+ (78:47)	.	.	+4 (285:50)	-6	.	.	.	4	548
80	Novosibirsk SU 3	+ (21:52)	+ (58:48)	.	+5 (270:51)	+ (102:43)	.	.	.	-1	.	.	.	4	551
81	Kazakh-British TU 4	+1 (22:20)	+ (39:51)	-1	.	+ (55:10)	.	.	-3	-3	.	+8 (292:34)	.	4	588
82	East-Siberian STU	+ (83:10)	+2 (52:19)	-1	.	+1 (122:12)	.	.	+ (279:34)	-2	.	.	.	4	596
83	Tbilisi SU 2	+ (59:54)	+1 (53:09)	.	.	+1 (101:51)	.	.	+3 (289:45)	-10	.	.	.	4	602
84	American U in Central Asia	+1 (135:24)	+1 (61:07)	.	.	+ (112:21)	.	.	+ (285:44)	.	.	.	.	4	633
85	Yerevan SU 2	+ (154:17)	+3 (40:34)	.	.	+1 (92:24)	.	.	+1 (271:59)	-25	.	-1	.	4	657
86	Tomsk SU 2 	+ (45:18)	+2 (71:06)	.	.	+ (172:13)	.	.	.	+2 (296:16)	.	.	.	4	664
87	Karaganda STU 1	+ (31:50)	+4 (269:40)	.	.	+ (49:23)	.	.	+ (293:35)	-2	.	.	.	4	722
88	Cherepovets SU	+1 (39:53)	+2 (102:43)	.	.	+1 (222:03)	.	.	-1	+1 (276:53)	.	.	.	4	739
89	Omsk SU 	+ (17:05)	+ (57:40)	.	-5	+ (71:04)	.	.	.	.	.	.	.	3	145
90	Kazakh NTU 1	+ (16:39)	+ (44:51)	.	-1	+ (101:00)	.	.	-1	-1	.	-10	.	3	161
91	Krasnoyarsk STU 2	+ (36:37)	+ (45:25)	.	.	+1 (96:15)	.	-4	.	-2	.	.	.	3	197
92	Krasnoyarsk STU 1	+ (27:20)	+2 (47:49)	.	.	+ (86:11)	.	-4	.	-9	.	.	.	3	200
93	Far Eastern NU 2	+ (32:32)	+2 (56:11)	.	.	+ (81:25)	.	.	.	-1	.	.	.	3	209
94	Kyrgyz-Russian Slavic U 3	+ (46:42)	+ (70:57)	.	.	+ (101:41)	.	.	.	-3	.	.	.	3	217
95	Kuban STU	+ (50:00)	+1 (144:21)	.	.	+ (36:23)	.	.	.	-4	.	.	.	3	250
96	Tashkent STU 3	+ (23:05)	+2 (112:52)	.	.	+1 (59:29)	.	.	.	-3	.	.	.	3	254
97	Komsomolsk-na-Amure STU 	+1 (54:49)	+2 (42:05)	.	.	+1 (80:26)	.	.	.	-12	.	.	.	3	256
98	Vologda STU	+ (24:12)	+4 (95:55)	-1	.	+ (61:56)	.	-1	.	-1	.	-3	.	3	260
99	SPb S Polytechnical U	+ (75:52)	+ (54:46)	.	.	+ (136:06)	.	.	.	.	.	.	.	3	265
100	Kazakh-British TU 1	+ (21:18)	+3 (64:44)	.	.	+ (126:51)	.	.	-1	-1	.	.	.	3	271
101	Perm SU 2	+2 (51:00)	+ (115:51)	.	.	+ (75:16)	.	.	.	-1	.	.	.	3	281
102	Tashkent UIT 4	+1 (112:24)	+ (56:24)	.	.	+ (100:30)	.	.	-2	-3	.	.	.	3	288
103	Kazakh-British TU 3	+ (52:34)	+1 (77:17)	.	.	+ (159:35)	.	.	-4	-2	.	.	.	3	308
104	Almaty Suleyman Demirel U 2	+ (68:03)	+1 (93:28)	.	.	+ (129:54)	.	.	.	.	.	.	.	3	310
105	Novosibirsk SPU 	+2 (73:54)	+ (106:55)	.	.	+ (93:20)	.	.	.	-1	.	.	.	3	312
106	Siberian SAU	+ (127:29)	+ (60:29)	.	.	+ (138:42)	.	.	.	-4	.	.	.	3	325
107	Novosibirsk STU 2	+ (64:25)	+ (93:36)	.	.	+2 (143:11)	.	.	.	.	.	.	.	3	340
108	Tashkent UIT 1	+ (45:45)	+2 (81:07)	.	.	+ (175:41)	.	.	.	-3	.	.	.	3	341
109	Tbilisi SU 6	+ (61:50)	+1 (160:48)	.	.	+ (110:57)	.	-2	.	.	.	.	.	3	351
110	Kazakh NU 2	+ (146:46)	-8	-1	.	+ (33:00)	.	.	+ (175:28)	-1	.	.	.	3	354
111	Westminster IU in Tashkent 2	+ (117:31)	+1 (64:34)	.	.	+ (157:48)	.	.	.	-1	.	.	.	3	358
112	U of World Econ and Diplomacy 1	+ (94:32)	+1 (75:02)	.	.	+2 (156:41)	.	.	.	.	.	.	.	3	385
113	Arkhangelsk STU	+ (28:12)	+1 (73:50)	.	.	+4 (193:40)	.	.	.	-1	.	.	.	3	394
114	Altai STU 4	+1 (165:53)	+1 (119:48)	.	.	+ (81:30)	.	.	-1	-1	.	.	.	3	405
115	Tbilisi SU 5	+ (73:18)	+1 (42:59)	.	.	+5 (216:02)	.	.	.	-9	.	.	.	3	451
116	Altai STU 3	+ (29:41)	+7 (183:52)	.	.	+ (109:14)	.	.	.	-3	.	-3	.	3	461
116	Moscow Aviation I	+ (36:04)	+1 (74:41)	.	.	+3 (271:20)	.	.	.	-5	.	.	.	3	461
118	Russian Armenian SU 1	+ (39:01)	-5	.	.	+ (134:59)	.	.	+ (292:40)	-1	.	.	.	3	465
119	Almaty Suleyman Demirel U 3	+ (54:08)	+1 (83:38)	.	.	+5 (227:18)	.	.	.	-3	.	.	.	3	484
120	Astana ENU	+ (40:36)	+4 (231:55)	.	.	+ (136:57)	.	.	.	.	.	.	.	3	487
121	Kazakh I of MEP	+1 (32:03)	+5 (128:55)	.	.	+2 (174:10)	.	.	-2	.	-3	.	.	3	494
122	Khakas SU	+5 (113:43)	+3 (116:57)	.	-3	+ (135:00)	.	.	-1	.	.	.	.	3	524
123	Sergiev Posad Branch of MSA IECS	+ (33:17)	+7 (190:34)	.	.	+ (207:16)	.	.	.	.	.	.	.	3	570
124	Sokhumi TSU	+ (218:28)	+ (120:23)	.	.	+ (271:51)	.	.	.	.	.	.	.	3	609
125	Irkutsk STU 	+3 (254:36)	+ (83:22)	.	.	+1 (222:23)	.	.	.	-5	.	.	.	3	639
126	Yerevan SU 4	+ (105:47)	+2 (256:05)	.	.	+1 (281:14)	.	.	.	.	.	.	.	3	702
127	Kazakh NU 3	+ (107:34)	+7 (251:34)	.	.	+1 (217:12)	.	.	-1	-1	.	.	.	3	735
128	Kemerovo SU 	+1 (144:12)	+4 (209:22)	.	.	+3 (236:17)	.	.	.	.	.	.	.	3	749
129	Tashkent STU 1	+ (234:14)	+2 (199:47)	.	.	+ (282:42)	.	.	.	.	.	.	.	3	755
130	Westminster IU in Tashkent 1	+ (191:20)	+4 (279:04)	.	.	+ (233:06)	.	.	-1	.	.	.	.	3	783
131	East Kazakhstan STU 	+1 (282:25)	+6 (263:12)	.	.	+ (251:22)	.	.	.	.	.	.	.	3	936
132	Uzbekistan NU 2	+ (44:36)	+1 (93:46)	.	.	-4	.	.	.	-3	-2	.	.	2	157
133	Rubtsovsk II	+ (22:44)	-2	.	.	+ (143:37)	.	.	.	.	.	.	.	2	165
134	Armenia SEU 1	+1 (101:54)	+1 (60:28)	.	.	-2	.	.	.	.	.	.	.	2	201
134	Bukhara SU 1	+ (40:10)	-6	.	.	+ (161:28)	.	.	.	.	.	.	.	2	201
136	Vladivostok SUE 	-3	+1 (61:52)	.	.	+ (141:14)	.	.	-3	-2	.	.	.	2	222
137	Russian Armenian SU 3	+1 (222:46)	+1 (75:47)	.	.	.	.	.	.	.	.	.	.	2	337
138	U of World Econ and Diplomacy 2	+ (158:44)	+3 (131:34)	.	.	.	.	.	.	-2	-3	.	.	2	349
139	Kazakh NTU 2	+1 (94:05)	-5	.	.	+ (265:02)	.	.	.	.	.	.	.	2	379
140	Tbilisi SU 4	+ (134:15)	-1	.	.	+ (270:52)	.	.	.	.	.	.	.	2	404
141	Armenia SEU 2	+ (200:15)	+5 (123:42)	.	.	-10	.	.	.	.	.	.	.	2	423
142	Almaty Suleyman Demirel U 4	+ (151:40)	-2	.	.	+ (292:37)	.	.	.	.	.	.	.	2	443
143	Russian Armenian SU 2	+1 (185:15)	+6 (163:13)	.	.	.	.	.	.	-2	.	.	.	2	488
144	Tashkent UIT 3	-3	+2 (198:48)	.	.	+2 (234:58)	.	.	.	.	.	.	.	2	512
145	Kostanay SU	.	+4 (196:31)	.	.	+ (250:36)	.	.	.	.	.	.	.	2	526
146	Karaganda SU	+ (189:21)	+7 (283:25)	.	.	-2	.	.	.	.	.	.	.	2	612
147	Tashkent Islamic U	.	+1 (45:08)	.	.	-1	.	.	.	.	.	.	.	1	65
148	Atatyurk-Alatoo U in Kyrgyzstan	+2 (84:55)	-8	.	.	.	.	.	-1	.	.	.	.	1	124
149	Uzbekistan NU 4	+ (136:25)	-8	.	.	.	.	.	.	.	.	.	.	1	136
150	Kyrgyz NU	+1 (137:34)	-2	.	.	.	.	.	.	.	.	.	.	1	157
151	Uzbekistan NU 3	+5 (67:35)	-12	-1	-1	-4	-1	.	.	.	.	.	.	1	167
152	Uzbekistan NU 1	-3	+2 (176:55)	.	.	-4	.	.	.	.	.	.	.	1	216
153	Pavlodar SU	+2 (188:13)	-8	.	.	-2	.	.	.	.	.	.	.	1	228
154	Samarkand SU	+ (238:16)	-7	.	.	.	.	.	.	-4	.	.	.	1	238
155	Bukhara TI of FLI 1	-1	+2 (220:16)	.	.	.	.	.	.	.	.	.	.	1	260
156	Kutaisi STU	-1	+6 (157:38)	.	.	.	.	.	.	.	.	.	.	1	277
157	Tbilisi SU 3	-6	+1 (271:17)	.	.	-1	.	.	.	.	.	.	.	1	291
158	Tashkent STU 2	.	+4 (212:55)	.	.	-7	.	.	.	.	.	.	.	1	292
159	Urganch SU	.	+6 (194:39)	-1	.	.	.	.	.	.	.	.	-1	1	314
160	Bukhara SU 2	.	+7 (178:21)	.	.	.	.	.	.	.	.	.	.	1	318
161	Ferghana PI	-1	+3 (294:02)	.	.	.	.	.	.	.	.	.	.	1	354
162	Andijan EEI	-3	+10 (192:13)	-1	.	.	.	-2	.	.	-1	-1	-2	1	392
163	Samarkand I of ES	.	+5 (296:15)	.	.	.	.	.	.	.	.	.	.	1	396
164	Khabarovsk STU	.	.	.	.	.	.	.	.	.	.	.	.	0	0
164	Kazakh NU 1	.	.	.	.	.	.	.	.	.	.	.	.	0	0
164	Irkutsk SU	.	.	.	.	.	.	.	.	.	.	.	.	0	0
164	Bukhara TI of FLI 2	.	-6	.	.	.	.	.	.	.	.	.	.	0	0
164	Karakalpak SU	-1	-3	.	.	-2	.	.	.	.	.	.	.	0	0
164	Djizakh SPI	-5	-17	.	.	.	.	.	.	.	.	.	.	0	0
164	Baku Odlar Yurdu U	.	.	.	.	.	.	.	.	.	.	.	.	0	0
164	Kazakh Branch of MSU	.	.	.	.	.	.	.	.	.	.	.	.	0	0
164	East Kazakhstan SU	.	.	.	.	.	.	.	.	.	.	.	.	0	0
164	Batumi SU	.	-6	.	.	.	.	.	.	.	.	.	.	0	0
	Total runs	228	465	99	137	240	5	98	138	345	47	208	8
	Accepted	151	150	40	21	139	2	38	82	62	12	56	3
	Rejected	77	315	59	116	101	3	60	56	283	35	152	5
	First Accept	6:10	12:17	92:33	107:17	14:36	241:12	90:22	48:44	42:18	102:25	44:26	270:30
	Last Accept	282:25	296:15	296:07	297:25	292:37	260:13	297:19	299:55	296:16	286:45	298:18	290:27
