Rank	Team	A	B	C	D	E	F	G	H	I	J	K	=	Time
69	Moscow I of El Tech (Greshilov, Mishin, Suleymanov)	.	+2 (23:08)	.	+16 (137:24)	.	+2 (216:17)	-1	+ (65:56)	.	.	-2	4	841
70	Kazan SU 1 (Enkov, Habibrahmanov, Kornienko)	.	+ (28:35)	.	+ (50:05)	-1	-4	.	+ (18:51)	-4	.	.	3	96
71	Tbilisi SU 2 (Mamageishvili, Saghinadze, Lutsenko)	-1	+ (20:08)	.	+ (70:40)	.	-3	.	+ (27:33)	.	-9	.	3	117
72	Orenburg SU (Chertkova, Savelyev, Semenov)	.	+1 (27:54)	.	+1 (54:05)	.	-5	.	+ (15:01)	.	-1	.	3	136
73	Ural STU 2 (Fetisov, Kiselev, Yakob)	.	+1 (28:10)	.	+ (60:14)	.	-5	.	+ (35:42)	.	.	.	3	143
74	Latvia U 1 (Balodis, Vihrovs, Virza)	.	+1 (35:04)	.	+ (68:38)	.	.	.	+ (24:58)	.	.	.	3	147
75	Pskov SPI (Dvoinev, Marchenko, Shvarkunov)	.	+1 (30:04)	.	+ (51:23)	.	.	.	+1 (29:03)	.	-8	.	3	150
75	Tbilisi SU 4 (Managadze, Skhirtladze, Varamashvili)	.	+ (26:59)	.	+ (78:44)	.	-3	.	+ (46:18)	.	.	.	3	150
77	Tyumen SOGU (Drobyshev, Kobelev, Kostyanetsky)	.	+2 (24:36)	.	+ (60:38)	.	-5	.	+ (38:15)	-1	.	.	3	162
77	Petrozavodsk SU 3 (Bezdelnikov, Myavrya, Senichev)	.	+1 (31:22)	.	+ (73:09)	.	-11	.	+ (38:55)	.	.	.	3	162
79	Ufa SATU 2 (Gumerov, Lezhankin, Ripatti)	-5	+2 (39:25)	.	+ (65:25)	.	-4	.	+ (19:12)	.	.	.	3	163
80	Novosibirsk SU 3 (Morozov, Stenenko, Zaicev)	.	+ (27:03)	.	+ (69:47)	.	-10	.	+2 (28:58)	.	.	.	3	164
81	Yerevan RAU 2 (Hovsepyan, Tsirunyan, Gevorgyan)	.	+ (19:20)	.	+1 (65:56)	.	-8	.	+1 (41:46)	.	.	.	3	165
82	Latvia U 2 (Iraids, Opmanis, Stepanovs)	.	+ (45:11)	.	+1 (65:20)	.	.	.	+ (36:42)	-1	.	.	3	166
83	Tomsk SU 2 (Doskoch, Perikov, Stefantsov)	.	+2 (37:50)	.	+ (67:58)	.	-2	.	+ (33:31)	.	-10	.	3	177
83	Kant SU of Russia 1 (Kostrikov, Mitrofanov, Varnavskikh)	.	+ (43:41)	.	+1 (88:48)	.	-30	.	+ (26:47)	.	.	.	3	177
85	Tartu U 2 (Heinsoo, Loot, Repan)	.	+ (16:00)	.	+2 (75:27)	.	-2	.	+1 (34:37)	.	.	.	3	185
86	South Ural SU 2 (Bogatirev, Gaynetdinov, Litichevskiy)	.	+2 (38:28)	.	+ (103:23)	.	.	.	+ (14:00)	.	.	.	3	195
87	Yerevan SU 2 (Karapetyan, Kostandyan, Mnatsakanyan)	.	+ (15:30)	.	+3 (103:23)	.	-14	.	+ (23:37)	.	.	.	3	201
88	Siberian SUTI 2 (Miroshnikov, Albrekht, Rogatnev)	.	+1 (55:53)	.	+ (104:25)	.	.	.	+ (28:47)	-1	-2	.	3	207
89	Moscow EPhI 2 (Ayrapetyan, Kolmar, Vilkin)	.	+1 (27:43)	.	+1 (106:05)	.	-7	.	+ (39:40)	.	.	.	3	212
90	Siberian Fed U 1 (Minkin, Chudov, Snetkov)	.	+ (38:40)	.	+1 (108:05)	.	-5	.	+ (50:18)	.	.	.	3	216
91	Siberian Fed U 2 (Tcvetcih, Tcvetcih, Grizan)	.	+ (49:55)	.	+1 (94:51)	.	-1	.	+1 (34:03)	.	.	.	3	217
91	Vilnius U (Budriunas, Paltanavicius, Visockas)	.	+2 (98:06)	.	+ (27:30)	.	-1	.	+ (52:56)	-2	-3	.	3	217
93	SPb SPU 1 (Churinov, Mashinsky, Timofeev)	.	+1 (33:44)	.	+ (102:17)	.	.	.	+ (63:16)	.	.	.	3	218
94	Vyatka SU 1 (Chistyakov, Stolbova, Vyaznikov)	.	+2 (54:20)	.	+ (75:51)	.	.	.	+1 (32:51)	.	-11	.	3	221
95	Kyrgyz-Russian Slav U 1 (Mansurov, Semenov, Babenko)	.	+1 (21:49)	.	+3 (103:35)	.	-6	.	+ (35:40)	.	-6	.	3	239
96	Taganrog TI of SFU (Chumachenko, Mozgovoy, Tarasov)	.	+1 (58:11)	.	+1 (108:59)	.	-2	.	+ (34:01)	.	.	.	3	240
97	SPb Mozhaisky MSA (Bobkov, Grinenko, Mochalov)	.	+1 (26:31)	.	+1 (113:49)	.	-3	.	+1 (46:40)	.	.	.	3	245
98	SPb SPU 2 (Beltukov, Kozhevnikov, Silakov)	.	+ (42:26)	.	+2 (142:07)	.	-2	.	+ (28:22)	.	.	.	3	252
99	Ulyanovsk SU (Kruglova, Penzentsev, Usov)	.	+ (31:18)	.	+2 (141:55)	.	.	.	+ (43:13)	.	.	.	3	255
100	Far Eastern NU 2 (Malyavin, Sosnov, Stepanets )	.	+ (80:46)	.	+ (72:57)	.	-2	.	+4 (43:36)	-3	.	.	3	275
101	Tashkent B of MSU 1 (Storozhev, Lazarev, Ashirmatov)	.	+ (58:24)	.	+1 (151:14)	.	-1	.	+1 (27:06)	.	.	.	3	276
102	Tartu U 1 (Belous, Nikiforov, Selajev)	.	+2 (69:36)	.	+1 (116:16)	.	.	.	+ (32:37)	.	.	.	3	277
103	Rybinsk SAAT 1 (Barkhonina, Klepikov, Manzharov)	.	+3 (43:05)	.	+ (93:28)	.	.	.	+1 (64:37)	.	-7	.	3	280
103	Tashkent U of IT 3 (Atadjanov, Atadjanov, Erjonov)	.	+ (43:30)	.	+ (151:58)	.	-2	.	+ (86:49)	.	.	.	3	280
105	Kyrgyz-Russian Slav U 3 (Bachevskiy, Balay, Fedotov)	.	+ (38:10)	.	+1 (142:56)	.	-1	.	+1 (64:45)	.	.	.	3	284
106	Tbilisi SU 1 (Lekveishvili, Nadiradze, Tvaltchrelidze)	.	+1 (35:07)	.	+4 (145:30)	.	.	.	+ (16:57)	-3	-3	.	3	296
107	Omsk SU (Evdokimov, Pozdnyakov, Nepomnyashih)	.	+ (20:29)	.	+ (222:32)	.	-9	.	+1 (36:19)	.	.	.	3	298
108	Kazakh-British TU 2 (Utkelbayev, Yesmukhanov, Li)	.	+1 (32:42)	-2	+5 (100:24)	.	.	.	+1 (40:24)	.	-21	-1	3	312
109	Novosibirsk STU 2 (Shtanko, Kuznetsov, Shatrov)	.	+ (32:42)	.	+3 (201:38)	.	.	.	+ (23:49)	.	-3	.	3	316
110	Kazan SU 2 (Antonjuck, Ulyanov, Yarullin)	.	+2 (65:56)	.	+2 (132:28)	.	-9	.	+1 (21:39)	.	.	.	3	318
111	Far Eastern NU 3 (Nazarov, Terentyev, Solovets)	.	+ (68:29)	.	+2 (161:32)	.	.	.	+ (55:43)	.	.	.	3	324
112	Samara SAU 2 (Abdulvaliev, Glashenko, Zimichev)	.	+3 (74:17)	.	+ (112:11)	.	.	.	+2 (39:07)	.	.	.	3	325
113	Ural STU 1 (Kildyushov, Ryabov, Skuridin)	.	+2 (77:30)	.	+1 (155:37)	.	.	.	+ (42:22)	.	.	.	3	334
114	Volgograd SU (Karpov, Stepanov, Udalova)	.	+1 (36:01)	.	+3 (220:40)	.	.	.	+ (10:04)	-3	.	.	3	346
115	Tomsk SU of CSR 2 (Berdnikov, Kraynyak, Pan)	.	+ (37:47)	.	+ (185:05)	.	.	.	+2 (88:56)	.	.	.	3	350
116	Suleyman Demirel U 4 (Zhurtbayev, Tainov, Gorskiy)	.	+2 (51:31)	.	+5 (164:32)	.	.	.	+ (19:21)	.	.	.	3	374
117	Novgorod SU (Khokhlovsky, Klimushenkova, Mukhina)	.	+2 (127:44)	.	+2 (104:30)	.	.	.	+1 (55:37)	.	.	.	3	386
118	Buryat SU (Bragin, Skvortsov, Baldanova)	.	+2 (35:46)	.	+3 (179:47)	.	-4	.	+1 (70:10)	.	-2	.	3	404
119	I of Math Siberian Fed U 1 (Kucherenko, Vorotynov, Kormyshov)	.	+1 (35:58)	.	+7 (169:12)	.	.	.	+ (54:30)	.	.	.	3	418
120	Kazakh-British TU 3 (Myrzahanov, Bekibaev, Sahariev)	.	+1 (51:23)	.	+5 (227:47)	.	.	.	+ (21:49)	-1	.	.	3	419
121	Ivanovo SPU (Amirbekov, Lebedev, Terrov)	.	+4 (98:49)	.	+ (195:14)	.	.	.	+ (63:24)	.	.	.	3	436
122	Yaroslavl SU 1 (Afanasyev, Bykova, Delyukin)	-2	+4 (85:41)	.	+1 (118:54)	.	.	.	+4 (80:54)	.	.	.	3	463
123	Vyatka SU 2 (Korchemkina, Prozorova, Suhih)	.	+2 (84:11)	.	+1 (136:14)	.	.	.	+ (200:04)	.	.	.	3	480
124	Urgench B of TUIT 1 (Yusupov, Shulepov, Annamuratov)	.	+ (38:35)	.	+5 (267:33)	.	.	.	+2 (76:20)	.	.	.	3	521
125	Irkutsk STU (Breusov, Guseinov, Gerasimov)	.	+6 (102:14)	.	+3 (197:03)	.	.	.	+1 (31:55)	.	-2	.	3	530
126	Baikal SU of EL (Mikeshin, Chepchenko, Gladkih)	.	+ (66:10)	.	+8 (248:39)	.	.	.	+1 (82:10)	-3	.	.	3	576
127	Yerevan RAU 4 (Gevorgyan, Martirosyan, Yeghiazaryan)	.	+4 (132:19)	.	+1 (296:57)	.	.	.	+ (53:38)	.	.	.	3	581
128	Kazakh NTU 1 (Tolenbekov, Kozhayev, Tilenshieva)	.	+2 (133:21)	.	+1 (274:58)	.	-1	.	+2 (124:41)	.	.	.	3	631
129	Vologda STU (Komarov, Telkov, Tolstov)	.	+5 (207:25)	.	+5 (158:23)	.	.	.	+1 (73:51)	.	.	.	3	658
130	Belarusian SU of Transport (Kapusta, Kuznetsov, Shats)	.	+6 (212:15)	.	+4 (201:50)	.	.	.	+2 (178:49)	.	-1	.	3	831
131	Obninsk STU for NPE (Agibalov, Kozlovskij, Gorskikh)	.	+1 (58:52)	.	-10	.	.	.	+ (23:59)	.	.	.	2	101
132	Tashkent U of IT 2 (Khayruddinov, Tyan, Puchkin)	.	+1 (52:35)	.	-1	.	.	.	+ (84:03)	.	.	.	2	156
133	Khakas SU (Konyaev, Gladishev, Sakerin)	.	+1 (82:33)	.	-5	.	.	.	+1 (45:49)	.	.	.	2	167
134	Tbilisi IBSU 2 (Chelishvili, Maisuradze, Gandilyan)	.	+2 (62:35)	.	.	.	.	.	+ (94:01)	.	.	.	2	196
135	Tbilisi IBSU 1 (Beridze, Kupatadze, Zarqua)	.	+1 (40:05)	.	-3	.	.	.	+5 (90:09)	.	.	.	2	250
136	Siberian SAU (Baranov, Bolgov, Kazmiruk)	.	+4 (85:53)	.	.	.	.	.	+ (127:10)	.	.	.	2	292
137	Kyrgyz-Russian Slav U 2 (Uulu Azamat, Mironov, Kim)	.	+2 (38:15)	.	-17	.	.	.	+7 (117:23)	.	.	.	2	335
138	Tbilisi SANGU 3 (Gulitashvili, Kvirkvia, Kokaia)	.	+3 (144:14)	.	-3	.	.	.	+1 (116:48)	.	.	.	2	340
139	Tomsk S Pol U 2 (Danilov, Goltsov, Rusinov)	.	+6 (146:41)	.	-1	.	.	.	+ (75:58)	.	.	.	2	341
140	Kyrgyz-Turkey Manas U (Urayimov, Chymbaev, Torobekov)	.	+5 (87:38)	.	-6	.	.	.	+1 (146:44)	.	.	.	2	353
141	Kemerovo SU (Koksin, Averchenko, Filippov)	.	+4 (193:02)	.	-4	.	.	.	+2 (47:00)	.	.	.	2	360
141	East-Siberian SAE (Reymerov, Kvast, Gumenyuk)	.	+3 (66:42)	.	-5	.	.	.	+2 (194:32)	.	.	.	2	360
143	Rubtsovsk II (Skorobogatov, Shveychuk, Samoylov)	.	+3 (89:37)	.	-6	.	.	.	+2 (183:25)	.	.	.	2	372
144	Suleyman Demirel U 2 (Mukashev, Nogayev, Bayturinov)	.	+9 (145:11)	.	-6	.	-1	.	+2 (48:58)	.	.	.	2	413
145	Tashkent I of Arch and Cons (Asyamov, Yuliev, Khisamitov)	.	-12	.	+2 (260:43)	.	.	.	+1 (108:17)	.	.	.	2	428
146	NU of Uzbekistan 2 (Ahmedov, Fedorkin, Sadikov)	.	+7 (224:24)	.	.	.	.	.	+ (67:37)	.	.	.	2	431
147	Caucasus U (Sovdagrishvili, Amashukeli, Chkareuli)	.	+3 (139:34)	.	.	.	.	.	+1 (214:41)	.	.	.	2	433
148	Altai STU 3 (Zakurdaev, Lutsenko, Zherebyatyeva)	.	+6 (288:29)	.	-2	.	.	.	+ (33:15)	.	.	.	2	441
149	I of Math Siberian Fed U 2 (Truba, Losev, Kudashov)	.	+ (49:52)	.	+7 (265:03)	.	.	.	-7	.	.	.	2	454
150	Yerevan SU 3 (Khachatryan, Yengoyan, Chorokhyan)	.	+8 (183:33)	.	.	.	.	.	+2 (81:21)	.	.	.	2	464
151	Altai SU (Anisimov, Tepikin, Yuzhkova)	.	+3 (268:55)	.	-16	.	.	.	+1 (124:20)	.	.	.	2	472
152	International IT U 2 (Zhumazhanov, Kayranbay, Mustafina)	.	+10 (254:12)	.	-3	.	.	.	+ (55:35)	.	.	.	2	509
153	International IT U 3 (Kim, Zemel, Nigay)	.	+5 (214:28)	.	.	.	.	.	+5 (128:00)	.	-4	.	2	542
154	Kazakh NU 2 (Turar, Isabaev, Seitkozhaev)	.	+13 (277:23)	-3	.	.	.	.	+ (38:38)	.	.	.	2	575
155	Kazakh NU 3 (Proskurjakov, Kharasaev, Chulkov)	.	+2 (177:08)	.	.	.	.	.	+8 (208:54)	.	.	.	2	585
156	American U Central Asia (Takyrbashev, Dzhakishev, Stus)	.	+8 (280:02)	.	.	.	.	.	+2 (106:59)	.	.	.	2	586
157	Tashkent U of IT 1 (Valiev, Tsoy, Platonov)	.	+ (57:38)	.	-6	.	.	.	+14 (274:49)	.	.	.	2	611
158	Yaroslavl SU 2 (Bogaevskaya, Cherkasov, Nefedov)	.	+14 (173:27)	.	-9	.	.	.	+ (160:06)	.	.	.	2	613
159	International IT U 4 (Zhantasov, Arystanbayev, Akhmetov)	.	+3 (231:17)	.	.	.	.	.	+3 (294:43)	.	.	.	2	645
160	Tbilisi SANGU 4 (Mania, Jamburia, Shonia)	.	+7 (208:44)	.	.	.	.	.	+2 (264:12)	.	.	.	2	652
161	Tashkent Auto and Road Cons I (Yoldoshev, Jamolov, Yoldoshev)	.	+4 (294:23)	.	.	.	.	.	+3 (248:14)	.	.	.	2	682
162	East Siberian STU (Vershinin, Gilev, Zorikto)	.	+7 (199:21)	.	-4	.	.	.	+7 (279:20)	.	.	.	2	758
163	Siberian SIU (Milovanov, Goncharov, Naymark)	.	+12 (267:17)	.	.	.	.	.	+6 (288:56)	.	.	.	2	915
164	Almaty IPET 2 (Sarsenov, Kulmakhanov, Dauletbekov)	.	+9 (75:15)	.	.	.	.	.	+28 (255:26)	.	.	.	2	1070
