Rank	Team	A	B	C	D	E	F	G	H	I	J	K	=	Time
53	Samara SAU	.	.	+8 (222:51)	.	.	.	+ (35:59)	.	.	+ (53:15)	+1 (27:16)	4	517
54	Ural SU 3	.	.	+1 (288:49)	.	.	.	+ (82:10)	.	.	+1 (71:10)	+ (38:28)	4	519
55	Moscow SU 4	.	.	+7 (280:59)	.	-5	.	+ (60:22)	.	.	+ (21:14)	+ (32:14)	4	533
56	Moscow EPhI 1	.	.	.	.	+2 (293:43)	.	+ (70:49)	.	.	+4 (34:14)	+1 (45:33)	4	582
57	Latvia U 2	.	.	+3 (273:15)	.	-2	.	+ (73:36)	.	.	+3 (50:59)	+1 (53:24)	4	589
58	Tashkent U of IT 1	.	.	+7 (271:23)	.	.	.	+ (57:03)	.	-7	+3 (25:59)	+ (40:55)	4	593
59	Novosibirsk SU 2	.	.	+5 (250:09)	.	.	.	+ (89:56)	.	.	+3 (101:02)	+2 (51:42)	4	691
60	Moscow AI	.	.	-5	.	+ (292:59)	.	+ (102:55)	-1	.	+2 (51:31)	+6 (220:43)	4	825
61	Far Eastern NU 2	.	.	-2	.	.	.	+ (62:11)	.	.	+ (40:14)	+ (21:08)	3	123
62	Tbilisi SU 2	.	.	-14	.	.	.	+ (57:51)	.	-2	+1 (31:33)	+1 (16:23)	3	144
62	Belarusian SU of IR	.	.	-9	.	.	.	+ (59:22)	.	.	+1 (24:26)	+ (41:42)	3	144
62	Far Eastern NU	.	.	.	.	.	.	+ (70:05)	.	-1	+ (27:07)	+ (47:06)	3	144
65	Suleyman Demirel U 1	.	.	-9	.	.	.	+ (78:07)	.	-4	+ (59:45)	+ (31:32)	3	168
66	Belarusian SU 3	-5	.	-1	.	.	.	+ (56:40)	-1	-6	+2 (45:23)	+ (33:28)	3	174
67	Russian-Armenian SU 1	.	.	.	.	.	.	+ (66:22)	.	.	+1 (47:36)	+ (42:10)	3	175
68	Yerevan SU 2	.	.	-7	.	.	.	+ (76:47)	.	.	+2 (26:00)	+ (47:34)	3	189
69	Siberian SUTI 1	.	.	-6	.	.	.	+ (76:44)	.	.	+ (64:07)	+1 (41:43)	3	201
70	Krasnoyarsk SU	.	.	-3	.	.	.	+ (84:37)	.	.	+2 (25:36)	+ (55:02)	3	204
71	Yerevan SEUA 1	.	.	.	.	.	.	+ (106:07)	.	-3	+ (42:14)	+ (64:52)	3	212
72	Volgograd STU	.	.	.	.	-4	.	+ (105:02)	.	.	+ (72:30)	+ (40:12)	3	217
73	Altai STU 3	.	.	-1	.	.	.	+ (128:37)	.	-3	+ (31:08)	+ (63:45)	3	222
74	Novosibirsk SU 3	.	.	-2	.	-4	.	+ (88:46)	.	.	+1 (62:54)	+1 (39:13)	3	229
75	Suleyman Demirel U 3	.	.	-7	.	.	.	+ (74:55)	.	.	+3 (40:21)	+ (61:32)	3	235
76	Suleyman Demirel U 4	.	.	-6	.	.	.	+ (73:11)	.	-3	+3 (31:48)	+ (76:43)	3	240
77	Tomsk PU	-6	.	.	.	.	.	+2 (75:48)	.	-5	+2 (63:18)	+ (25:32)	3	243
78	Kyrgyz-Russian Slavic U 2	.	.	.	.	.	.	+ (92:44)	.	.	+2 (38:50)	+ (74:26)	3	244
79	Novosibirsk STU 1	.	.	-3	.	-5	.	+ (49:33)	.	.	+ (70:53)	+3 (75:19)	3	254
80	Novokuznetsk BI of Kemerovo SU	.	.	-14	.	.	.	+ (126:16)	.	.	+ (46:34)	+ (87:17)	3	259
81	Tomsk SU of CSR	.	.	-3	.	.	.	+ (101:48)	.	.	+1 (30:58)	+2 (72:39)	3	263
82	Petrozavodsk SU 3	.	.	-7	.	.	.	+ (111:58)	.	.	+1 (42:20)	+ (93:32)	3	266
83	Krasnoyarsk STU 1	.	.	.	.	-3	.	+ (89:10)	.	.	+1 (68:37)	+1 (75:25)	3	272
83	Immanuel Kant SU	.	.	.	.	.	-1	+ (101:59)	.	.	+3 (48:32)	+ (63:44)	3	272
83	Tashkent U of IT 3	.	.	-1	.	.	.	+2 (115:24)	.	.	+1 (28:25)	+ (69:28)	3	272
86	Pskov SPI 1	.	.	.	.	.	.	+2 (126:49)	.	.	+1 (35:33)	+ (62:53)	3	283
87	Russian-Armenian SU 2	-1	-1	-1	-3	-1	-61	+ (142:12)	-1	-1	+ (50:30)	+ (101:09)	3	293
88	Tyumen SOGU	.	.	-2	.	.	.	+2 (151:17)	.	.	+ (23:04)	+1 (61:30)	3	295
89	Volgograd SU	.	.	-4	.	.	.	+ (118:39)	.	.	+2 (30:08)	+2 (68:30)	3	296
89	Russian-Armenian SU 3	.	.	-1	.	.	.	+1 (155:02)	.	.	+ (30:42)	+ (91:58)	3	296
91	Yerevan SU 3	.	.	-3	.	.	-2	+ (69:55)	-3	.	+2 (96:55)	+ (92:40)	3	297
91	Rubtsovsk II	-5	.	-1	.	.	.	+ (109:05)	.	.	+4 (47:10)	+ (61:30)	3	297
93	Novosibirsk STU 2	.	.	-5	.	.	.	+ (142:39)	.	.	+1 (50:51)	+ (87:54)	3	299
94	Vilnius U 2	.	.	.	.	.	.	+ (67:18)	-1	.	+6 (75:52)	+ (48:54)	3	310
95	Tbilisi SU 3	.	.	.	.	.	.	+ (102:47)	.	.	+3 (75:19)	+ (78:05)	3	315
96	Siberian S Industrial U	.	.	-2	.	.	.	+ (182:47)	.	.	+2 (34:37)	+ (64:45)	3	320
97	Kyrgyz-Russian Slavic U 1	.	.	-2	.	.	.	+ (101:06)	.	.	+2 (86:19)	+2 (66:01)	3	333
98	Pskov SPI 2	.	.	.	.	.	.	+ (73:54)	.	-7	+1 (31:28)	+1 (196:37)	3	340
99	Orel STU 2	.	.	-3	.	.	.	+ (111:35)	.	.	+2 (95:42)	+1 (77:09)	3	343
100	Chita SU	.	.	.	.	.	.	+ (108:12)	.	.	+4 (39:43)	+ (127:19)	3	354
101	Tashkent U of IT 2	.	.	-8	.	.	.	+1 (135:01)	.	.	+3 (45:25)	+ (99:55)	3	359
102	North Caucaus STU	.	.	.	.	-6	.	+ (156:26)	.	.	+1 (80:46)	+1 (101:11)	3	377
103	Siberian SUTI 2	.	.	.	.	.	.	+ (141:44)	.	-9	+3 (84:23)	+1 (74:36)	3	379
104	Kutaisi SU 1	.	.	-2	.	.	.	+ (175:30)	.	.	+1 (82:29)	+ (112:14)	3	389
105	Kazakh-British TU 3	.	.	-8	.	.	.	+ (164:24)	.	-2	+3 (34:44)	+ (133:49)	3	391
106	U of WE and D 1	.	.	.	.	.	.	+ (139:51)	.	-6	+4 (95:25)	+ (80:31)	3	394
107	NU of Uzbekistan 1	.	.	-1	.	.	.	+1 (194:40)	.	.	+1 (94:09)	+1 (60:36)	3	408
108	Altai SU	.	.	-18	.	.	.	+ (73:36)	.	.	+2 (110:32)	+3 (128:30)	3	411
109	Omsk SU	.	.	-4	.	.	.	+1 (156:50)	.	.	+3 (140:17)	+ (45:30)	3	421
110	Irkutsk STU	.	.	-5	.	.	.	+2 (183:18)	.	.	+1 (69:40)	+ (115:54)	3	427
111	Krasnoyarsk STU 2	.	.	-8	.	.	.	+3 (202:10)	-2	.	+4 (35:29)	+ (67:38)	3	444
112	Astana Moscow SU	-1	.	.	.	.	.	+ (157:35)	-6	.	+5 (66:10)	+ (123:27)	3	446
113	Tbilisi SU 4	.	.	.	.	.	.	+ (163:33)	.	.	+3 (54:28)	+3 (111:17)	3	448
114	Belarus-Russia U	.	.	.	.	.	.	+ (215:18)	.	.	+ (51:45)	+ (188:33)	3	454
115	American U Central Asia	.	.	.	.	.	.	+ (194:32)	.	.	+ (53:45)	+3 (148:41)	3	455
116	NU of Uzbekistan 2	.	.	.	.	.	.	+ (164:39)	.	-4	+3 (136:27)	+1 (78:59)	3	458
117	Kazakh-British TU 4	.	.	-5	.	.	.	+ (191:21)	.	.	+1 (47:06)	+2 (176:57)	3	474
118	Fergana B of Tashkent UIT 1	.	.	-2	.	.	.	+ (188:57)	.	.	+5 (61:47)	+ (126:21)	3	475
119	Khakas SU	.	.	+2 (297:30)	.	.	.	.	.	.	+2 (36:58)	+ (68:10)	3	481
120	Kemerovo SU	.	.	.	.	.	.	+ (197:16)	.	.	+ (81:01)	+1 (185:28)	3	483
121	East-Siberian STU	.	.	-4	.	.	.	+5 (214:21)	.	.	+1 (86:00)	+ (64:47)	3	484
122	Eurasian NU 3	.	.	.	.	.	.	+ (165:08)	.	-2	+4 (60:05)	+2 (141:47)	3	486
123	Baikal SU of EL	.	.	.	.	.	.	+ (122:16)	.	.	+4 (168:17)	+ (135:22)	3	505
124	Tashkent U of IT 4	.	.	.	.	.	.	+ (91:12)	.	.	+3 (243:34)	+ (118:05)	3	512
125	Atyrau SU	.	.	.	.	.	.	+4 (207:16)	.	.	+2 (44:58)	+1 (122:31)	3	513
126	Westminster IU in Tashkent 2	.	.	.	.	.	.	+ (234:26)	.	.	+2 (91:10)	+ (161:05)	3	526
127	Tomsk SU 1	.	.	.	.	.	-1	+4 (289:46)	.	.	+2 (18:36)	+1 (83:16)	3	530
128	Kazakh-British TU 2	.	.	-5	.	.	.	+3 (213:15)	.	.	+2 (72:44)	+1 (129:59)	3	534
129	Karaganda STU 3	.	.	.	.	.	.	+4 (186:59)	.	.	+2 (86:36)	+4 (88:55)	3	560
130	Amur SU	.	.	-1	.	-2	.	+ (155:27)	.	.	+7 (169:54)	+3 (54:55)	3	578
131	Siberian S Aerospace U	.	.	-1	.	.	.	+4 (226:14)	-1	.	+4 (65:29)	+3 (82:09)	3	593
132	Ivanovo SPU 2	.	.	-5	.	.	.	+ (77:18)	.	.	+8 (260:08)	+1 (78:52)	3	595
133	Karaganda STU 2	.	.	-2	.	.	.	+4 (108:39)	.	.	+7 (113:31)	+ (183:21)	3	624
134	Altai STU 4	.	.	-1	.	.	.	+ (136:40)	.	.	+6 (187:07)	+1 (167:04)	3	630
135	Adyghe SU	.	.	.	.	.	.	+ (274:38)	.	.	+3 (133:55)	+2 (137:02)	3	644
136	Karaganda STU 1	.	.	-1	.	.	.	+ (169:46)	.	.	+4 (149:58)	+3 (188:09)	3	646
137	Siberian SU of Transport	.	.	.	.	.	.	+5 (231:14)	.	.	+4 (167:52)	+1 (59:19)	3	657
138	Tbilisi IBSU	.	.	.	.	.	.	+1 (111:14)	.	.	+5 (155:42)	+3 (230:54)	3	676
139	Sokhumi Br of Tbilisi SU	.	.	.	.	.	.	+1 (287:57)	.	.	+1 (59:08)	+ (291:41)	3	677
140	Eurasian NU 2	.	.	.	.	.	.	+5 (268:17)	.	-2	+3 (43:10)	+4 (131:58)	3	682
141	Suleyman Demirel U 2	.	.	.	.	.	.	+1 (222:41)	.	-2	+7 (129:02)	+3 (119:05)	3	690
142	Almaty I of PET	.	.	.	.	.	.	+3 (223:07)	.	-1	+6 (262:00)	+1 (190:46)	3	875
143	Kazakh NTU 2	.	.	.	.	.	.	+6 (275:06)	.	.	+8 (114:30)	+4 (136:05)	3	885
144	Institute of Physics and IT	.	.	.	.	.	.	.	.	.	+1 (75:50)	+1 (34:17)	2	149
145	Yerevan SU 4	.	.	-3	.	.	.	-4	.	.	+5 (99:06)	+ (63:52)	2	262
146	Kazakh NTU 3	.	.	-9	.	.	.	-6	.	.	+9 (136:42)	+ (56:43)	2	372
147	Tashkent I of AC	.	.	.	.	.	.	-4	.	.	+3 (115:08)	+4 (187:20)	2	442
148	Kazakh NU 2	.	.	.	.	.	.	+ (266:36)	.	.	-8	+ (221:03)	2	487
149	Osh STU	.	.	.	.	.	.	+ (168:31)	.	.	+5 (234:00)	-3	2	502
150	Fergana PI 1	.	.	.	.	.	.	-2	.	.	+9 (189:20)	+7 (84:31)	2	593
151	Westminster IU in Tashkent 1	.	.	.	.	.	-4	.	.	.	+4 (200:52)	+8 (161:14)	2	601
152	Eurasian NU 1	.	.	.	.	.	.	+ (206:24)	.	.	+7 (258:18)	-6	2	604
153	Namangan EPI	.	.	.	.	.	.	.	.	.	+8 (135:24)	+2 (292:44)	2	627
154	NU of Uzbekistan 3	.	.	.	.	.	.	+5 (296:32)	.	.	-4	+3 (255:49)	2	711
155	Samarkand B of Tashkent UIT 2	.	.	.	.	.	.	.	.	.	+6 (257:27)	+3 (296:22)	2	733
156	Karakalpak SU 1	.	.	.	.	.	.	-2	.	.	-5	+ (100:02)	1	100
157	Karaganda SU	.	.	.	.	.	.	.	.	.	-5	+ (163:15)	1	163
158	Kazakh NTU 1	.	.	.	.	.	.	-2	.	.	+3 (138:44)	-3	1	198
159	Karshi SU	.	.	.	.	.	.	.	.	.	.	+ (212:04)	1	212
160	Fergana B of Tashkent UIT 2	.	.	.	.	.	.	.	.	.	-1	+ (226:03)	1	226
161	Batumi SMA	.	.	.	.	.	.	.	.	.	+3 (180:28)	.	1	240
162	Kyrgyz NU	.	.	.	.	.	.	.	.	.	+8 (88:13)	.	1	248
163	Tashkent SU of E 1	.	.	.	.	.	.	-1	.	.	+ (284:33)	-6	1	284
164	Fergana PI 2	.	.	.	.	.	.	.	.	.	+3 (234:11)	-8	1	294
165	North Kazakhstan SU	.	.	.	.	.	.	+2 (255:35)	.	.	.	.	1	295
166	Urganch SU	.	.	.	.	.	.	.	.	.	+6 (299:53)	.	1	419
167	Rudny II	.	.	-3	.	.	.	.	.	.	+10 (243:35)	-5	1	443
168	Tashkent SU of E 2	.	.	.	.	.	.	.	.	.	+9 (275:05)	.	1	455
169	Urganch B of Tashkent UIT 2	-1	.	.	.	.	.	.	.	.	+11 (296:05)	-1	1	516
170	Komsomolsk-na-Amure STU	.	.	.	.	.	.	.	.	.	.	.	0	0
170	Vladivostok SU of E	.	.	.	.	.	.	.	.	.	.	.	0	0
170	Samarkand SU 2	-2	.	.	.	.	.	.	.	.	-11	.	0	0
170	West Kazakhstan SU	.	.	.	.	.	.	.	.	.	-8	-3	0	0
170	Karakalpak SU 2	.	.	.	.	.	.	.	.	.	-1	.	0	0
170	Qarshi B of Tashkent UIT	.	.	.	.	.	.	.	.	.	-9	.	0	0
170	U of WE and D 2	.	.	.	.	.	.	.	.	.	.	.	0	0
170	Samarkand B of Tashkent UIT 1	.	.	-1	.	.	.	.	.	.	-10	-1	0	0
170	Guliston SU 1	.	.	.	.	.	.	.	-1	.	-17	-6	0	0
170	Fergana SU	.	.	.	.	.	.	.	.	.	-3	-2	0	0
170	Urganch Branch of TUIT 1	.	.	.	.	.	.	.	.	.	-4	-2	0	0
170	Buxoro SU	.	.	.	.	.	.	.	.	.	-8	-2	0	0
170	Guliston SU 2	.	.	.	.	-1	.	.	-2	.	.	-5	0	0
170	Kazakh NU 3	.	.	.	.	.	.	.	.	.	.	.	0	0
170	Samarkand Campus of TUIT 1	.	.	.	.	.	.	.	.	.	-3	-1	0	0
170	Samarkand Campus of TUIT 2	.	.	.	.	.	.	.	.	.	.	.	0	0
170	Samarkand SU 1	.	.	.	.	.	.	-1	.	.	-4	-2	0	0
170	Taskent SI of OS	.	.	.	.	.	.	-1	.	.	-9	-1	0	0
170	Yerevan SEUA 2	.	.	.	.	.	.	.	.	.	-8	-2	0	0
170	Batumi SU 1	.	.	.	.	.	.	.	.	.	-12	-2	0	0
170	Kutaisi SU 2	.	.	.	.	.	.	.	.	.	.	.	0	0
170	Batumi SU 2	.	.	.	.	.	.	.	.	.	.	.	0	0
	Total runs	116	59	374	3	133	75	251	52	139	659	346
	Accepted	23	13	55	0	27	2	147	0	27	162	157
	Rejected	93	46	319	3	106	73	104	52	112	497	189
	First Accept	53:21	142:13	35:30		111:30	286:17	15:47		68:06	11:45	9:00
	Last Accept	299:50	299:29	297:30		293:43	287:43	296:32		297:07	299:53	296:22
