Rank	Team	A	B	C	D	E	F	G	H	I	J	K	L	=	Time
32	Nazarbayev University 7 (German, Alimanov, Yeleu)	+1 (13:07)	+3 (170:57)	.	.	+1 (78:41)	.	.	+1 (291:09)	.	.	.	+ (43:49)	5	715
33	Kazakh-British Technical University 4 (Temir, Mussinov, Sabitkhan)	+ (13:46)	.	+4 (224:07)	.	+2 (65:50)	.	.	+ (278:06)	.	.	.	+ (32:52)	5	732
34	International IT University 8 (Patarov, Abdysalam, Suhayli)	+3 (55:00)	+1 (138:12)	-2	.	+4 (267:51)	.	.	+ (258:19)	.	.	.	+ (46:54)	5	924
35	SDU 2 (Akhmetov, Issembergenov, Aimakov)	+ (54:27)	+ (125:38)	.	.	+1 (71:43)	.	.	.	.	.	-34	+ (55:04)	4	325
36	KazNU 3 (Jantassov, Kuatov, Abdikerimova)	+ (37:16)	+ (164:46)	-5	.	+1 (79:46)	.	.	.	.	.	.	+ (129:05)	4	429
37	Kazakhstan Branch of Moscow State University 2 (Turganbayev, Omarov, Zhussupov)	+ (14:06)	+1 (122:55)	-1	.	-10	.	.	+1 (210:52)	.	.	.	+ (52:25)	4	438
38	Kazakh-British Technical University 6 (Bekbergen, Salmenbaeva, Kenzhegaliyev)	+1 (20:51)	-6	.	.	+1 (158:13)	.	.	+1 (235:29)	.	.	.	+ (60:49)	4	533
39	Kazakh-British Technical University 9 (Baipakbayev, Polichshuk, Shakenova)	+1 (27:33)	+4 (258:59)	.	.	+1 (128:32)	.	.	.	.	.	.	+1 (73:13)	4	626
40	Kazakh-British Technical University 2 (Kemalov, Oteu, Amirzhan)	+ (15:46)	+5 (213:58)	-3	.	+4 (256:05)	.	.	.	.	.	.	+ (39:30)	4	703
41	Kazakh-British Technical University 7 (Konyrbaev, Urazaliev, Kenesbayev)	+2 (35:18)	+9 (298:45)	.	.	+1 (63:14)	.	.	.	.	.	.	+ (94:22)	4	730
42	Nazarbayev University 16 (Toleuov, Nurgabylov, Zhanbyrtayev)	+3 (35:26)	+1 (293:31)	+2 (222:24)	.	-2	.	.	.	.	.	.	+ (63:01)	4	733
43	Nazarbayev University 9 (Sabitov, Yerzhanov, Sadirov)	+ (14:12)	-2	-2	.	+ (159:50)	.	.	.	.	.	.	+ (60:20)	3	233
44	International IT University 4 (Abdrashim, Mukhtarkhanuly, Oral)	+ (75:47)	-14	-1	.	+ (88:03)	.	.	-1	.	.	.	+ (81:24)	3	244
45	SDU 6 (Akhmetov, Abildin, Borgalinov)	+3 (30:15)	-3	-3	.	+1 (100:14)	.	.	.	.	.	.	+ (56:42)	3	266
46	Kazakh-British Technical University 3 (Kabrash, Prenov, Baygereev)	+1 (17:47)	-5	.	.	+2 (133:27)	.	.	.	.	.	-2	+ (104:52)	3	314
47	Eurasian National University named L.N. Gumilev 3 (Karakozha, Batirkhan, Muslim)	+2 (25:40)	.	-1	-1	+5 (162:00)	.	.	.	.	.	.	+ (44:45)	3	371
48	Karaganda State Technical University 1 (Zalutskiy, Slepenkov, Marushka)	+ (19:07)	-3	.	.	+3 (237:22)	.	.	.	.	.	.	+ (96:20)	3	412
49	Kazakh-British Technical University 8 (Kurmasheva, Danil, Zhanar)	+ (38:16)	.	.	.	+2 (220:28)	.	.	.	.	.	.	+ (117:48)	3	415
50	Eurasian National University named L.N. Gumilev 4 (Artem, Omirzak, Utyuganov)	+ (9:19)	-2	.	.	+1 (252:40)	.	.	.	.	.	.	+ (143:17)	3	424
51	Nazarbayev University 12 (Massalim, Akash, Akash)	+1 (19:43)	.	-15	.	+3 (133:11)	.	.	.	.	.	.	+ (221:31)	3	453
52	Eurasian National University named L.N. Gumilev 2 (Amandos, Sultan, Yessenbayev)	+ (11:34)	.	-2	.	+ (258:08)	.	.	.	.	.	.	+ (191:57)	3	460
53	SDU 3 (Kaliakhmetov, Kynabay, Zharkyn)	+ (89:07)	.	-4	.	+3 (147:24)	.	.	.	.	.	.	+ (212:46)	3	508
54	Kazakh-British Technical University 5 (Abdalimov, Abdrakhmanov, Mustafin)	+ (29:53)	-3	.	.	+1 (196:36)	.	.	.	.	.	.	+3 (217:44)	3	522
55	Kaz NU 99 Bolashaq (Mambetniyazov, Zhansay, Kadyrbek)	+2 (66:49)	.	-7	.	+5 (256:07)	.	.	.	.	.	.	+3 (148:29)	3	670
56	Nazarbayev University 6 (Abdrakhmanov, Sagynov, Sadykov)	+1 (13:12)	.	.	.	-5	.	.	.	.	.	.	+ (49:51)	2	82
57	Karaganda State Technical University 2 (Frolov, Lebedev, Lavrov)	+1 (26:44)	.	-4	.	-4	.	.	.	.	-1	.	+ (63:25)	2	109
58	Nazarbayev University 3 (Zhiyenbek, Zhanbek, Akhmetbek)	+1 (32:38)	.	-4	.	-3	.	.	.	.	.	.	+ (93:39)	2	145
58	Nazarbayev University 15 (Tumenbayeva, Tursynbek, Aidaraliyev)	+ (15:12)	.	-4	.	-3	.	.	.	.	.	.	+ (130:54)	2	145
60	Kazakh Turkish University named Hoja Akhmed Yassawe 2 (Seydulla, Salimbayev, Kanatbekov)	+ (7:01)	.	.	.	.	.	.	.	.	.	.	+ (259:18)	2	266
61	Nazarbayev University 11 (Ryskaliyev, Maratkhan, Askaruly)	+1 (43:47)	.	.	.	.	.	.	.	.	.	.	+ (212:37)	2	275
62	Kazakh Turkish University named Hoja Akhmed Yassawe 1 (Serdaliev, Raimov, Meldebekov)	+ (16:15)	.	.	.	.	.	.	.	.	.	.	+4 (196:41)	2	292
63	Nazarbayev University 18 (Diyas, Brakk, Yakubov)	+3 (54:07)	.	.	.	+1 (182:18)	.	.	.	.	-1	.	.	2	316
64	Kaz NU 77 (Kasym, Khapez, Alipbek)	+ (172:25)	.	-11	.	+ (172:56)	.	.	.	.	.	-2	-6	2	344
65	Almaty University of Power Engineering and Telecommunications 2 (Sadykova, Von, Kurbashev)	+1 (38:47)	.	.	.	+4 (255:29)	.	.	.	.	.	.	.	2	393
66	Eurasian National University named L.N. Gumilev 5 (Nurgaliyev, Kazhiyev, Tukaeva)	+3 (131:53)	.	-1	.	.	.	.	.	.	.	.	+ (221:46)	2	412
67	International IT University 6 (Kamet, Issa, Raiskhanov)	+6 (273:08)	.	-5	.	-6	.	.	.	.	.	.	+ (47:57)	2	440
68	Drogo (Mustafin, Kasymbek, Kenzhebek)	+10 (151:32)	.	.	.	-9	.	.	.	.	.	.	+5 (219:47)	2	670
69	Nazarbayev University 8 (Iskakov, Zhumashev, Ziyashev)	+2 (38:01)	.	-1	.	-1	.	.	.	.	.	-2	-1	1	78
70	Almaty University of Power Engineering and Telecommunications 3 (Kisselev, Ashirbekov, Zharkinbaev)	+4 (72:20)	.	.	.	.	.	.	.	.	.	.	.	1	152
71	Eurasian National University named L.N. Gumilev 1 (Nazarov, Shagiev, Galy)	-1	.	-4	.	.	.	.	.	.	.	.	+ (220:40)	1	220
72	International IT University 2 (Nukhan, Rustembekov, Eshmuhanbet)	-2	.	.	.	+3 (226:35)	.	.	.	.	.	.	.	1	286
73	Eurasian National University named L.N. Gumilev 6 (Kubeyev, Ystybayeva, Issabekov)	+3 (237:54)	.	-3	.	.	.	.	.	.	.	.	.	1	297
74	KazNTU_KiPi_1 (Adilbekov, Nurkamit, Zhanat)	+8 (153:33)	.	.	.	.	.	.	.	.	.	.	-1	1	313
75	International IT University 10 (Rashid, Rokhillayev, Mukametkarim)	+4 (246:35)	.	.	.	.	.	.	.	.	.	.	.	1	326
76	KazNTU_KiPi_2 (Abiyev, Baiken, Baibossynov)	+5 (236:56)	.	.	.	.	.	.	.	.	.	.	.	1	336
77	Almaty University of Power Engineering and Telecommunications 1 (Popkov, Zenchenko, Protsenko)	-2	.	.	.	.	.	.	.	.	.	.	.	0	0
77	Kazakh National University named Al-Farabi 4 (Elubai, Turar, Omarbek)	.	.	.	.	.	.	.	.	.	.	.	.	0	0
77	KBTU NBA (Auganov, Askar, Nurzhan)	.	.	.	.	.	.	.	.	.	.	.	.	0	0
	Total runs	202	139	141	21	179	3	7	49	44	60	141	93
	Accepted	75	40	26	11	57	0	0	34	5	11	15	66
	Rejected	127	99	115	10	122	3	7	15	39	49	126	27
	First Accept	4:26	18:48	51:55	80:24	21:32			38:51	172:16	64:57	38:28	10:29
	Last Accept	273:08	298:45	256:39	275:32	267:51			291:09	292:22	294:31	294:55	259:18
